From	Protein names	Gene Names	Subcellular location	Transmembrane
Q9FLT9	Chloroplastic import inner membrane translocase subunit HP30-2 (Hypothetical inner plastid envelope protein of 30 kDa 2) (AtHP30-2) (Hypothetical protein 30-2)	HP30-2 At5g24650 K18P6.19	Mitochondrion membrane; Multi-pass membrane protein. Plastid, chloroplast inner membrane; Multi-pass membrane protein. Seems to be present both in chloroplast and mitochondrion.	"TRANSMEM 55..75; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 108..124; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 135..155; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 158..178; /note=""Helical""; /evidence=""ECO:0000255"""
Q9C5J8	Outer envelope protein 80, chloroplastic (Chloroplastic outer envelope protein of 80 kDa) (AtOEP80) (Protein TOC75-V) (AtToc75-V)	OEP80 At5g19620 T29J13.40	Plastid, chloroplast outer membrane.	
Q9FHA3	DNA polymerase alpha catalytic subunit (EC 2.7.7.7)	POLA At5g67100 K21H1.14	Nucleus.	
Q8GWB3	Protein YIP	At3g05280 At3g05280/T12H1_25 AT3G05280 T12H1.25 T12H1_25	Membrane; Multi-pass membrane protein.	"TRANSMEM 127..149; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU361264""; TRANSMEM 169..186; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU361264""; TRANSMEM 198..219; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU361264""; TRANSMEM 225..243; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU361264""; TRANSMEM 255..276; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU361264"""
Q8RXP6	Alpha/beta hydrolase domain-containing protein WAV2 (EC 3.-.-.-) (Protein WAVY GROWTH 2)	WAV2 At5g20520	Cell membrane; Single-pass membrane protein.	"TRANSMEM 6..26; /note=""Helical""; /evidence=""ECO:0000255"""
Q41931	1-aminocyclopropane-1-carboxylate oxidase 2 (ACC oxidase 2) (AtACO2) (EC 1.14.17.4)	ACO2 EI305 At1g62380 F24O1.10	Cytoplasm	
Q9SZ77	Protein transport Sec1b (AtSec1b)	SEC1B At4g12120 F16J13.190	Nucleus	
P46875	Kinesin-like protein KIN-14N (AtKIN14d) (Kinesin-like protein KatC)	KIN14N ATK3 KATC At5g54670 K5F14.1 MRB17.18	Cytoplasm, cytoskeleton.	
Q9C9Z9	Glycosyltransferase-like KOBITO 1 (EC 2.4.1.-) (Protein ABA INSENSITIVE 8) (Protein ELONGATION DEFECTIVE 1)	ELD1 ABI8 KOB1 At3g08550 F17O14.2	Secreted, cell wall. Cytoplasm. Cell membrane. The cell membrane subcellular localization first observed (PubMed:12215501) and the punctate pattern within the cytoplasm (PubMed:14742875) could not be confirmed (PubMed:15010620).	
Q8GW96	AAA-ATPase At2g18193 (EC 3.6.1.-)	At2g18193 F8D23	Membrane; Single-pass membrane protein.	"TRANSMEM 7..28; /note=""Helical""; /evidence=""ECO:0000255"""
Q9FX83	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8-B, mitochondrial (EC 7.1.1.2)	At1g16700 F19K19.1	Mitochondrion.	
F4JZS7	TRAF-like family protein	At5g26320 AT5G26320 F9D12.3 F9D12_3	Unknown	
Q9LDH0	Beta-1,2-xylosyltransferase (AtXYLT) (EC 2.4.2.38)	XYLT At5g55500 MTE17.21	Golgi apparatus membrane; Single-pass type II membrane protein. Localizes in medial cisternae of Golgi apparatus.	"TRANSMEM 12..34; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255"""
A0A1I9LQ21	GPI ethanolamine phosphate transferase 1 (EC 2.-.-.-)	At3g01380 AT3G01380 T13O15.2 T13O15_2	Endoplasmic reticulum membrane; Multi-pass membrane protein. Membrane; Multi-pass membrane protein.	"TRANSMEM 45..66; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU367138""; TRANSMEM 488..514; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU367138""; TRANSMEM 535..554; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU367138""; TRANSMEM 560..576; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU367138""; TRANSMEM 596..617; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU367138""; TRANSMEM 623..641; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU367138""; TRANSMEM 648..670; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU367138""; TRANSMEM 716..738; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU367138""; TRANSMEM 750..769; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU367138""; TRANSMEM 798..814; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU367138""; TRANSMEM 854..873; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU367138""; TRANSMEM 893..914; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU367138""; TRANSMEM 926..947; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU367138""; TRANSMEM 959..983; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU367138"""
A0A2P2CLC5	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2)	nad5	Membrane; Multi-pass membrane protein. Mitochondrion inner membrane; Multi-pass membrane protein.	"TRANSMEM 40..62; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU003404""; TRANSMEM 74..99; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU003404""; TRANSMEM 111..129; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU003404""; TRANSMEM 136..156; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU003404""; TRANSMEM 176..201; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU003404""; TRANSMEM 213..231; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU003404""; TRANSMEM 251..270; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU003404""; TRANSMEM 282..304; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU003404""; TRANSMEM 310..330; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU003404""; TRANSMEM 379..399; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU003404""; TRANSMEM 420..443; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU003404""; TRANSMEM 463..481; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU003404""; TRANSMEM 511..533; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU003404""; TRANSMEM 621..642; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU003404"""
Q84TI6	Cyclin-dependent kinase E-1 (CDKE;1) (EC 2.7.11.22) (EC 2.7.11.23) (Cyclin-dependent kinase 8) (Protein HUA ENHANCER 3)	CDKE-1 CDK8 HEN3 RAO1 At5g63610 MBK5.8	Nucleus.	
Q9C9U9	Pathogenesis-related thaumatin superfamily protein (Thaumatin-like protein; 9376-10898)	At1g73620 AT1G73620 F25P22.3 F25P22_3	Extracellular	
F4I378	DUF642 domain-containing protein	At1g29980 AT1G29980 T1P2.9 T1P2_9	Extracellular, Nucleus	
Q9SA55	Pre-mRNA-splicing factor 18	At1g03140 AT1G03140 F10O3.3 F10O3_3	Nucleus	
A0A1P8AVZ2	NF-X-like 1	NFXL1 ATNFXL1 NF-X-like 1 At1g10170 AT1G10170 F14N23.5 F14N23_5	Nucleus	
Q9LVK6	DNA binding / DNA-directed RNA polymerase (Uncharacterized protein At3g13940)	AT3G13940	Nucleus, nucleolus.	
Q8W575	COP9 signalosome complex subunit 3 (Signalosome subunit 3) (Protein FUSCA 11)	CSN3 FUS11 At5g14250 F18O22.40	Cytoplasm. Nucleus.	
Q8L7U0	AT3g03330/T21P5_25 (NAD(P)-binding Rossmann-fold superfamily protein)	At3g03330 AT3G03330 T21P5.25 T21P5_25	Extracellular	
Q9FIF3	40S ribosomal protein S8-2	RPS8B At5g59240 MNC17.15	Cytoplasm	
Q8RWV9	Uncharacterized protein At5g08450 (Zinc finger CCCH domain protein)	HDC1 RXT3-like AT5G08450 F8L15.180 F8L15_180	Unknown	
O81098	DNA-directed RNA polymerases II and IV subunit 5A (RPB5a) (DNA-directed RNA polymerase II subunit E) (RNA polymerase I, II and III 24.3 kDa subunit) (AtRPB24.3)	NRPB5A NRPD5A RPABC24.3 At3g22320 MCB17.4 MCB17_5	Nucleus.	
Q8GXS3	Pre-mRNA cleavage factor Im 25 kDa subunit 2	CFIS2 At4g25550 M7J2.80	Nucleus. In punctate subnuclear structures localized adjacent to nuclear speckles, called paraspeckles.	
Q8W106	AT3g27930/K24A2_2 (Beta-galactosidase)	At3g27930 AT3G27930	Nucleus	
A0A1P8ATA6	P-loop nucleoside triphosphate hydrolases superfamily protein with CH (Calponin Homology) domain-containing protein	At1g63640 AT1G63640 F2K11.1 F2K11_1	Nucleus	
F4JXD5	Actin depolymerizing factor 3	ADF3 ACTIN DEPOLYMERIZING FACTOR 3 actin depolymerizing factor 3 MMN10.4 MMN10_4 At5g59880 AT5G59880	Cytoplasm	
Q7DLS1	Proteasome subunit beta type-7-B (EC 3.4.25.1) (20S proteasome beta subunit B-2) (Proteasome component FC) (Proteasome subunit beta type-2)	PBB2 PRCFC At5g40580 MNF13.10	Cytoplasm. Nucleus.	
Q9SY09	Small nuclear ribonucleoprotein SmD1b (AtSmD1-b)	SMD1B At4g02840 T5J8.16	Nucleus speckle. Nucleus, nucleolus.	
Q9FIL6	At5g58950 (Protein kinase superfamily protein) (Protein-tyrosine kinase)	At5g58950 AT5G58950 K19M22.20 K19M22_20	Unknown	
F4ITI0	ceramide glucosyltransferase (EC 2.4.1.80)	AT2G19880 F6F22.9 F6F22_9	Unknown	"TRANSMEM 22..44; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 342..366; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 378..402; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 422..441; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
Q9FGR0	Cleavage and polyadenylation specificity factor subunit 1 (Cleavage and polyadenylation specificity factor 160 kDa subunit) (AtCPSF160) (CPSF 160 kDa subunit)	CPSF160 At5g51660 K17N15.21	Nucleus.	
Q8RXN6	U4/U6 small nuclear ribonucleoprotein Prp31 homolog (Pre-mRNA-processing factor 31 homolog) (Protein EMBRYO DEFECTIVE 1220)	PRP31 EMB1220 At1g60170 T13D8.6	Nucleus. Nucleus, Cajal body.	
Q9LMG7	Probable inactive purple acid phosphatase 2	PAP2 At1g13900 F16A14.11	Secreted.	
F4IW47	Transketolase-2, chloroplastic (TK) (EC 2.2.1.1)	TKL-2 At2g45290 F4L23.20	Plastid, chloroplast thylakoid membrane. Plastid, chloroplast stroma.	
Q9SW09	40S ribosomal protein S10-1	RPS10A At4g25740 F14M19.20	Cytoplasm.	
F4JY11	Protein CANDIDATE G-PROTEIN COUPLED RECEPTOR 7 (AtCand7)	CAND7 At5g18520 T28N17.5	Membrane; Multi-pass membrane protein.	"TRANSMEM 175..195; /note=""Helical; Name=1""; /evidence=""ECO:0000255""; TRANSMEM 207..227; /note=""Helical; Name=2""; /evidence=""ECO:0000255""; TRANSMEM 243..263; /note=""Helical; Name=3""; /evidence=""ECO:0000255""; TRANSMEM 281..301; /note=""Helical; Name=4""; /evidence=""ECO:0000255""; TRANSMEM 315..335; /note=""Helical; Name=5""; /evidence=""ECO:0000255""; TRANSMEM 363..383; /note=""Helical; Name=6""; /evidence=""ECO:0000255""; TRANSMEM 390..410; /note=""Helical; Name=7""; /evidence=""ECO:0000255"""
Q96252	ATP synthase subunit delta', mitochondrial (F-ATPase delta' subunit)	At5g47030 MQD22.17	Mitochondrion. Mitochondrion inner membrane.	
Q9LYE7	Uncharacterized protein At5g11420 (Uncharacterized protein F15N18_10)	At5g11420 AT5G11420 F15N18.10 F15N18_10	Extracellular	
Q8L745	AT5g42220/K5J14_2 (Ubiquitin-like superfamily protein)	AT5G42220 K5J14.2 K5J14_2	Unknown	
F4HUK6	Butanoate--CoA ligase AAE1 (EC 6.2.1.-) (4-methylpentanoate--CoA ligase AAE2) (EC 6.2.1.-) (AMP-binding protein 1) (AtAMPBP1) (Acyl-activating enzyme 1, peroxisomal) (Hexanoate--CoA ligase CCL3) (EC 6.2.1.-) (Pentanoate--CoA ligase CCL3) (EC 6.2.1.-)	AAE1 AMPBP1 At1g20560 F5M15.12	Peroxisome.	
P42794	60S ribosomal protein L11-2 (L16)	RPL11B At3g58700 T20N10_50; RPL11C RPL16B At4g18730 F28A21.140; RPL11D At5g45775 MRA19.26 MRA19_21	Nucleus. Cytoplasm.	
Q9LZR8	PAN domain-containing protein At5g03700	At5g03700 F17C15.120	Membrane; Single-pass membrane protein.	"TRANSMEM 425..445; /note=""Helical""; /evidence=""ECO:0000255"""
O23710	Proteasome subunit beta type-7-A (EC 3.4.25.1) (20S proteasome beta subunit B-1) (Proteasome component FA) (Proteasome component FB) (Proteasome subunit beta type-2)	PBB1 PRCFA PRCFB At3g27430 K1G2.15	Cytoplasm. Nucleus.	
F4I9G5	Patched family protein	At1g42470 AT1G42470 F7F22.1 F7F22_1	Membrane; Multi-pass membrane protein.	"TRANSMEM 258..277; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 349..369; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 596..617; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 629..653; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 659..684; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 704..725; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 737..758; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 810..830; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 1087..1107; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 1114..1136; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 1142..1165; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 1177..1203; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 1215..1235; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
Q9LFD5	Binding partner of ACD11 1	BPA1 At5g16840 F5E19.180	Cytoplasm. Membrane.	
Q42599	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8-A, mitochondrial (EC 7.1.1.2)	At1g79010 YUP8H12R.37 YUP8H12R_21	Mitochondrion.	
Q944K3	Histone deacetylase 2 (EC 3.5.1.98)	HDA2 At5g26040 T1N24.9	Nucleus.	
Q84JW1	Peroxisomal membrane protein 11E (Peroxin-11E) (AtPEX11e)	PEX11E PEX11-2 At3g61070 T27I15.160	Peroxisome membrane; Multi-pass membrane protein.	"TRANSMEM 92..108; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 203..222; /note=""Helical""; /evidence=""ECO:0000255"""
Q8VZT8	Probable ribosomal protein S11, mitochondrial (MRP-S11) (S11mt) (Protein NUCLEAR FUSION DEFECTIVE 3, mitochondrial)	NFD3 At1g31817 F5M6.25	Mitochondrion.	
A0A1P8ARN1	Splicing factor PWI domain-containing protein / RNA recognition motif (RRM)-containing protein	At1g60200 AT1G60200 T13D8.9 T13D8_9	Nucleus	
Q8LB17	Rhomboid-like protein 15 (AtRBL15) (EC 3.4.21.-)	RBL15 RBL11 At3g58460 F14P22.50	Membrane; Multi-pass membrane protein.	"TRANSMEM 22..42; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 70..90; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 103..123; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 141..161; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 176..196; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 198..218; /note=""Helical""; /evidence=""ECO:0000255"""
Q9SUN5	Small nuclear ribonucleoprotein-associated protein	smB At4g20440 AT4G20440 F9F13.90 F9F13_90	Nucleus.	
Q9SA88	Berberine bridge enzyme-like 11 (AtBBE-like 11) (EC 1.1.1.-)	At1g30730 T5I8.18	Secreted, cell wall.	
Q9SVU4	Tetraspanin-20 (TOM2A homologous protein 1)	TOM2AH1 At4g28770 F16A16.120	Membrane; Multi-pass membrane protein. Vacuole membrane; Multi-pass membrane protein.	"TRANSMEM 16..36; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 111..131; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 144..164; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 195..215; /note=""Helical""; /evidence=""ECO:0000255"""
Q9CAR7	Hypersensitive-induced response protein 2 (AtHIR2)	HIR2 At1g69840 T17F3.13	Cell membrane; Lipid-anchor; Cytoplasmic side.	
Q9T0F7	Glucuronoxylan 4-O-methyltransferase 2 (EC 2.1.1.112)	GXM2 At4g09990 T5L19.120	Golgi apparatus membrane; Single-pass membrane protein.	"TRANSMEM 8..28; /note=""Helical""; /evidence=""ECO:0000255"""
Q6S7B0	Transcription initiation factor TFIID subunit 5 (TBP-associated factor 5) (AtTAF5)	TAF5 At5g25150 F21J6	Nucleus.	
Q8GXH2	Apoptosis inhibitory protein 5 (API5) (Uncharacterized protein At1g29030) (Uncharacterized protein At1g29030/F28N24_25)	At1g29030 At1g29030/F28N24_25 AT1G29030 F28N24.26 F28N24_26	Unknown	
Q84WU9	Zinc finger CCCH domain-containing protein 64 (AtC3H64)	At5g56900 MHM17.1	Nucleus	
Q9SJY5	Mitochondrial uncoupling protein 5 (AtPUMP5) (Mitochondrial dicarboxylate carrier 1)	PUMP5 DIC1 UCP5 At2g22500 F14M13.10	Mitochondrion inner membrane; Multi-pass membrane protein.	"TRANSMEM 6..26; /note=""Helical; Name=1""; /evidence=""ECO:0000255""; TRANSMEM 77..97; /note=""Helical; Name=2""; /evidence=""ECO:0000255""; TRANSMEM 123..143; /note=""Helical; Name=3""; /evidence=""ECO:0000255""; TRANSMEM 182..202; /note=""Helical; Name=4""; /evidence=""ECO:0000255""; TRANSMEM 223..243; /note=""Helical; Name=5""; /evidence=""ECO:0000255""; TRANSMEM 280..300; /note=""Helical; Name=6""; /evidence=""ECO:0000255"""
Q9LIK1	ADP-ribosylation factor C1 (ADP-ribosylation factor, putative) (Putative ADP-ribosylation factor)	ARFC1 ADP-ribosylation factor C1 ATARFC1 At3g22950 AT3G22950	Golgi apparatus.	
Q9C658	Protein decapping 5	DCP5 At1g26110 F14G11.8 F28B23.21	Cytoplasm, P-body.	
Q9FM65	Fasciclin-like arabinogalactan protein 1	FLA1 At5g55730 MDF20.17	Secreted, extracellular space, apoplast. Cell membrane; Lipid-anchor, GPI-anchor.	
Q682P6	Metallo-hydrolase/oxidoreductase superfamily protein (Uncharacterized protein At1g25375)	AT1G25375	Unknown	"TRANSMEM 498..515; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
Q9SQT8	Bifunctional 3-dehydroquinate dehydratase/shikimate dehydrogenase, chloroplastic (DHQ-SDH protein) (DHQase-SORase) (Protein EMBRYO DEFECTIVE 3004) [Includes: Dehydroquinate dehydratase (DHQ) (EC 4.2.1.10); Shikimate dehydrogenase (SDH) (EC 1.1.1.25)]	EMB3004 At3g06350 F24P17.18	Plastid, chloroplast.	
Q9CAV7	Probable transcription factor At3g04930 (Storekeeper-like protein At3g04930)	At3g04930 T9J14.12	Nucleus	
Q9FJX0	Peptidyl-prolyl cis-trans isomerase CYP65 (AtCYP65) (PPIase CYP65) (EC 2.3.2.27) (EC 5.2.1.8) (Cyclophilin-65) (Peptidyl-prolyl cis-trans isomerase-like 2) (Plant U-box protein 49) (RING-type E3 ubiquitin transferase isomerase-like 2) (Rotamase) (U-box domain-containing protein 49)	CYP65 PUB49 At5g67530 K9I9.9	Nucleus.	
P34790	Peptidyl-prolyl cis-trans isomerase CYP18-3 (PPIase CYP18-3) (EC 5.2.1.8) (Cyclophilin of 18 kDa 3) (Cyclosporin A-binding protein) (Rotamase cyclophilin-1)	CYP18-3 ROC1 At4g38740 T9A14.20	Cytoplasm.	
Q8VY22	Protein trichome birefringence-like 38	TBL38 At1g29050 F28N24.24	Membrane; Single-pass type II membrane protein.	"TRANSMEM 7..29; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255"""
O64471	Mitochondrial outer membrane import complex protein METAXIN	MTX1 At2g19080 T20K24.9	Mitochondrion inner membrane; Multi-pass membrane protein. Mitochondrion outer membrane; Multi-pass membrane protein. The inner membrane localization is based on mass spectrometry identification and may be the result of sample contamination.	"TRANSMEM 195..215; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 284..304; /note=""Helical""; /evidence=""ECO:0000255"""
Q9LKZ3	Retinoblastoma-related protein 1 (AtRBR) (AtRBR1)	RBR1 RBR At3g12280 F28J15.11	Nucleus. RBR1 nuclear localization is mediated by the RBR1-ATPK1 interaction.	
Q9ZPH2	Monothiol glutaredoxin-S17 (AtGrxS17)	GRXS17 At4g04950 T1J1.6	Cytoplasm.	
Q3E875	Uncharacterized Rho GTPase-activating protein At5g61530	At5g61530 K11J9.10	Chloroplast, Cytoplasm	
Q9SN38	Receptor-like protein 51 (AtRLP51) (Protein PUTATIVE DEVELOPMENTAL ORTHOLOG 1) (AtPDO1) (Protein SUPPRESSOR OF NPR1-1, CONSTITUTIVE 2)	RLP51 PDO1 SNC2 At4g18760 F28A21.170	Cell membrane; Single-pass type I membrane protein.	"TRANSMEM 405..425; /note=""Helical""; /evidence=""ECO:0000255"""
Q8VY92	Transmembrane emp24 domain-containing protein p24delta10 (p24 family protein delta10) (p24delta10) (p24 family protein delta2d) (p24delta2d)	At1g69460 F10D13_26	Endoplasmic reticulum membrane; Single-pass type I membrane protein. Golgi apparatus, cis-Golgi network membrane; Single-pass type I membrane protein. Golgi apparatus, Golgi stack membrane; Single-pass type I membrane protein. Cycles between the endoplasmic reticulum and Golgi via COPI and COPII dependent pathways.	"TRANSMEM 182..202; /note=""Helical""; /evidence=""ECO:0000255"""
Q9FXD8	Probable pectate lyase 5 (EC 4.2.2.2)	At1g67750 F12A21.12	Extracellular	
Q9LTW4	Aspartic proteinase NANA, chloroplast (EC 3.4.23.-)	NANA At3g12700 MBK21.8	Plastid, chloroplast.	
P42760	Glutathione S-transferase F6 (AtGSTF6) (EC 2.5.1.18) (AtGSTF3) (GST class-phi member 6) (Glutathione S-transferase 1) (AtGST1) (Protein EARLY RESPONSE TO DEHYDRATION 11)	GSTF6 ERD11 GST1 GSTF3 At1g02930 F22D16.7	Cytoplasm, cytosol.	
Q9ZUP4	Casein kinase 1-like protein 5 (EC 2.7.11.1) (Protein CASEIN KINASE I-LIKE 5)	CKL5 At2g19470	Cytoplasm.	
Q8VYK9	Casein kinase 1-like protein 12 (EC 2.7.11.1) (Protein CASEIN KINASE I-LIKE 12)	CKL12 At5g57015	Cytoplasm.	
Q9LPU5	Indole glucosinolate O-methyltransferase 1 (EC 2.1.1.-)	IGMT1 At1g21100 T22I11.7	Nucleus	
Q9FKG3	ATP-dependent 6-phosphofructokinase 4, chloroplastic (ATP-PFK 4) (Phosphofructokinase 4) (EC 2.7.1.11) (Phosphohexokinase 4)	PFK4 At5g61580 K11J9.3	Plastid, chloroplast.	
F4I6G9	CTP synthase (EC 6.3.4.2) (UTP--ammonia ligase)	At1g30820 AT1G30820 T17H7.12 T17H7_12	Unknown	
Q08AA5	At1g67410 (Exostosin family protein) (Glycosyltransferase)	AT1G67410 F1N21.23	Golgi apparatus membrane; Single-pass type II membrane protein. Membrane; Single-pass type II membrane protein.	
Q9LKA4	UBP1-associated protein 2C	UBA2C At3g15010 K15M2.15	Nucleus. Mainly localized into nuclear speckles.	
Q9M0R2	Patellin-5	PATL5 At4g09160 T8A17.90	Membrane; Peripheral membrane protein. Cytoplasm. Mainly membrane-associated. Also cytoplasmic (By similarity).	
Q9FKW4	Calcium-dependent protein kinase 28 (EC 2.7.11.1)	CPK28 At5g66210 K2A18.29	Cell membrane; Lipid-anchor.	
Q9M840	Ankyrin repeat family protein (T27C4.12 protein)	AT3G04470 T27C4.12 T27C4_12	Membrane.	
Q9LPE9	At1g44820 (Peptidase M20/M25/M40 family protein) (T12C22.9 protein)	At1g44820 AT1G44820 T12C22.9 T12C22_9	Chloroplast	
Q9LSK7	At3g18035 (Linker histone protein, putative) (Winged-helix DNA-binding transcription factor family protein)	HON4 HISTONE H1 At3g18035 AT3G18035	Nucleus	
Q9SYG7	Aldehyde dehydrogenase family 7 member B4 (EC 1.2.1.3) (Antiquitin-1) (Turgor-responsive ALDH)	ALDH7B4 At1g54100 F15I1.19	Chloroplast	
