Accession	Gene ID	Description	Sum PEP Score	# PSMs	# Peptides	# Unique Peptides	Abundance Ratio: (rbohC C) / (WT C)	Abundance Ratio (log2): (rbohC C) / (WT C)	Abundance Ratio Adj. P-Value: (rbohC C) / (WT C)	Abundance Ratio P-Value: (rbohC C) / (WT C)	Abundances (Grouped): rbohC C	Abundances (Grouped): WT C	Abundances (Grouped) CV [%]: rbohC C	Abundances (Grouped) CV [%]: WT C	Abundances (Normalized): F1: Sample, rbohC C	Abundances (Normalized): F2: Sample, rbohC C	Abundances (Normalized): F3: Sample, rbohC C	Abundances (Normalized): F13: Sample, WT C	Abundances (Normalized): F14: Sample, WT C	Abundances (Normalized): F15: Sample, WT C	Found in Sample: [S1] F1: Sample, rbohC C	Found in Sample: [S2] F2: Sample, rbohC C	Found in Sample: [S3] F3: Sample, rbohC C	Found in Sample: [S4] F4: Sample, rbohC Cd	Found in Sample: [S5] F5: Sample, rbohC Cd	Found in Sample: [S6] F6: Sample, rbohC Cd	Found in Sample: [S7] F7: Sample, rbohF C	Found in Sample: [S8] F8: Sample, rbohF C	Found in Sample: [S9] F9: Sample, rbohF C	Found in Sample: [S10] F10: Sample, rbohF Cd	Found in Sample: [S11] F11: Sample, rbohF Cd	Found in Sample: [S12] F12: Sample, rbohF Cd	Found in Sample: [S13] F13: Sample, WT C	Found in Sample: [S14] F14: Sample, WT C	Found in Sample: [S15] F15: Sample, WT C	Found in Sample: [S16] F16: Sample, WT Cd	Found in Sample: [S17] F17: Sample, WT Cd	Found in Sample: [S18] F18: Sample, WT Cd	COUNTIF
Q9SU83	ath:AT4G29680; Q9SU83	Alkaline-phosphatase-like family protein OS=Arabidopsis thaliana OX=3702 GN=At4g29680 PE=1 SV=1	40.758	184	12	11	5.052	2.34	9.57795265923678E-06	1.10871737524221E-06	43630929.8612312	8636787.42209347	10.15	22.22	43630929.8612312	45828213.8366973	37536836.0984282	8356135.36307556	8636787.42209347	12238951.3723632	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	16
Q681W7	A0A178VKQ1; ath:AT3G04950; Q681W7	SEC-C motif protein OS=Arabidopsis thaliana OX=3702 GN=At3g04950 PE=1 SV=1	30.366	92	4	4	0.15	-2.73	1.11668359507302E-05	1.29432378948025E-06	2893604.5962987	19244204.7812849	45.68	33.39	3323317.72271229	1190681.30755143	2893604.5962987	15685363.5159813	19244204.7812849	29493983.3850164	High	High	High	High	Peak Found	High	High	Peak Found	High	High	Peak Found	High	Peak Found	High	Peak Found	High	High	High	13
Q8LLD0	ath:AT1G80680; Q38941; Q8LLD0; Q8LLD1	Nuclear pore complex protein NUP96 OS=Arabidopsis thaliana OX=3702 GN=NUP96 PE=1 SV=1	31.287	105	8	8	5.814	2.54	1.13865953378568E-05	1.3203672120099E-06	31970600.7900036	5498817.17707093	11.09	21.21	31970600.7900036	28937760.9315088	36080823.654362	3838383.19350104	5498817.17707093	5847767.6078468	Peak Found	High	High	High	High	High	High	High	High	High	Peak Found	High	Peak Found	High	High	High	High	High	15
F4IIU4	ath:AT2G34680; F4IIU4; O64588; Q00NU6; Q0WPR3	187-kDa microtubule-associated protein AIR9 OS=Arabidopsis thaliana OX=3702 GN=AIR9 PE=1 SV=1	363.52	1884	63	63	2.762	1.47	1.14025947387632E-05	1.32336725244819E-06	483383898.814083	175033604.594824	9.11	8.36	483383898.814083	554110259.214308	468502803.703422	191866987.899239	175033604.594824	162473725.725191	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
F4IIG3	F4IIG3	Glycosyltransferase OS=Arabidopsis thaliana OX=3702 GN=UGT73B5 PE=1 SV=1	20.984	45	6	3	0.076	-3.73	1.33456067463099E-05	1.55288973635592E-06	560468.829310058	7416604.30624116	18.79	59.05	490365.616334311		640594.07545008	2387707.30359385	10110151.9388939	7416604.30624116	Not Found	Not Found	Not Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	High	High	High	6
Q9FRK5	ath:AT1G75140; Q8GY41; Q9C9Q7; Q9FRK5	Uncharacterized membrane protein At1g75140 OS=Arabidopsis thaliana OX=3702 GN=At1g75140 PE=1 SV=3	99.18	598	22	19	3.684	1.88	1.36359813548322E-05	1.58749878798048E-06	99515099.4990147	27010339.7801836	13.32	77.31	99515099.4990147	79917233.8061604	103311211.50604	26248936.1387669	27010339.7801836	91025577.420784	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9XES1	ath:AT1G07670; Q9LQP2; Q9XES1	Calcium-transporting ATPase 4, endoplasmic reticulum-type OS=Arabidopsis thaliana OX=3702 GN=ECA4 PE=2 SV=2	367.948	2219	40	13	3.261	1.71	1.50792277497598E-05	1.75688407244579E-06	158919036.149898	48738087.8315974	21.03	27.52	158919036.149898	158079610.687018	224192298.11121	48738087.8315974	37619784.2156053	65262697.725512	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9ZU40	ath:AT2G01270; Q94C52; Q9ZU40	Sulfhydryl oxidase 2 OS=Arabidopsis thaliana OX=3702 GN=QSOX2 PE=2 SV=2	72.455	333	15	13	0.259	-1.95	1.62808020009721E-05	1.90096608876367E-06	19555345.556843	75560934.9408283	27.4	4.83	15973825.107031	19555345.556843	27189498.8460547	80469216.985958	75560934.9408283	73241901.3658762	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9SRV5	ath:AT3G03780; Q94BN4; Q9SRV5	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 2 OS=Arabidopsis thaliana OX=3702 GN=MS2 PE=1 SV=1	405.542	2065	29	11	0.326	-1.62	1.68589388324777E-05	1.96931633267283E-06	95679863.5994717	293754880.172225	16.33	9.96	118541168.581744	86781738.3601377	95679863.5994717	273181747.16215	332002749.657657	293754880.172225	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q93ZE8	ath:AT2G25110; O81720; Q93ZE8; Q9SEZ5	Stromal cell-derived factor 2-like protein OS=Arabidopsis thaliana OX=3702 GN=SDF2 PE=1 SV=1	102.883	352	8	8	0.313	-1.67	1.84320431523358E-05	2.15492337241052E-06	46099099.8423306	147083172.735289	19.28	10.17	37290693.2172625	55089494.6073357	46099099.8423306	167173517.142273	147083172.735289	137141559.351573	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q84WW2	ath:AT5G24400; Q42135; Q84WW2; Q8LD77; Q9FIN2	6-phosphogluconolactonase 3, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PGL3 PE=1 SV=1	36.227	103	8	8	0.158	-2.66	1.91393939652695E-05	2.23858179504433E-06	2906534.8463069	18337864.1783604	26.43	17.89	2586694.15503424	4199538.49556739	2906534.8463069	18586453.7876705	18337864.1783604	13280391.0346427	High	Peak Found	High	High	Peak Found	High	High	High	High	High	High	High	High	High	Peak Found	High	High	Peak Found	14
Q8GZ87	ath:AT1G14380; Q8GZ87; Q8LAE0; Q9M9S5	Protein IQ-DOMAIN 28 OS=Arabidopsis thaliana OX=3702 GN=IQD28 PE=1 SV=1	166.577	749	27	26	3.258	1.7	1.98574708090275E-05	2.32456312065921E-06	178164279.424405	54684364.1855975	9.83	34.32	209193432.663371	178164279.424405	176347215.761888	80825263.2779605	54684364.1855975	41071952.6269703	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
C0Z274	ath:AT1G80910; B9DGZ2; C0Z274; Q9SAG9	Vacuolar fusion protein CCZ1 homolog B OS=Arabidopsis thaliana OX=3702 GN=CCZ1B PE=1 SV=1	41.286	183	10	7	2.694	1.43	2.03886490194111E-05	2.38776759009518E-06	856307916.254998	317886701.769951	16.99	17.9	670853116.922965	945205086.983133	856307916.254998	375290516.815457	317886701.769951	261362915.976256	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9LJX4	Q0WRA5; Q9LJX4	Pumilio homolog 5 OS=Arabidopsis thaliana OX=3702 GN=APUM5 PE=1 SV=2	136.177	741	23	21	0.317	-1.66	2.06186430615298E-05	2.41780785059653E-06	46962590.165637	147969578.854196	33.46	29.97	79982774.9061414	46147313.2720076	46962590.165637	191502329.177317	147969578.854196	103071248.082837	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
F4HWC3	ath:AT1G20970; F4HWC3	Calponin-like domain protein OS=Arabidopsis thaliana OX=3702 GN=At1g20970 PE=1 SV=1	313.32	1030	42	42	0.31	-1.69	2.16253988014854E-05	2.5369487977045E-06	84725625.625889	273521068.096099	74	17.09	68913319.7933568	84725625.625889	247764391.468127	282577939.763599	273521068.096099	203496192.044731	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
O23238	ath:AT4G36420; O23238	At4g36420/C7A10_940 OS=Arabidopsis thaliana OX=3702 GN=C7A10.940 PE=1 SV=2	32.298	67	4	4	5.101	2.35	2.20129566914565E-05	2.58351953941194E-06	28683342.000747	5622926.1506565	16.69	23.93	28683342.000747	32664668.3220326	23285434.7085164	4202620.50639394	6863623.78515949	5622926.1506565	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	Peak Found	Peak Found	High	15
O81644	ath:AT2G41740; O22946; O81644; Q0WV87; Q8RXZ3	Villin-2 OS=Arabidopsis thaliana OX=3702 GN=VLN2 PE=1 SV=2	184.637	788	35	29	3.259	1.7	2.34041291084677E-05	2.74928159904597E-06	213727073.265161	65585473.377087	11.14	20.02	213727073.265161	182525480.292848	227780977.288236	65585473.377087	63539545.0135877	89802347.3823885	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9LZQ7	Q9LZQ7	At3g62330 OS=Arabidopsis thaliana OX=3702 GN=T12C14_30 PE=1 SV=1	32.608	103	9	9	0.183	-2.45	2.43082153342733E-05	2.86266117033307E-06	4069642.41011252	22209739.2917918	36.55	5.77	6734941.03564504	3467807.03982293	4069642.41011252	21928173.8620815	22209739.2917918	24338083.772435	High	Peak Found	High	High	High	Peak Found	High	High	Peak Found	High	High	High	High	High	Peak Found	High	High	Peak Found	13
Q9LFT3	ath:AT5G15870; Q9LFT3	Endo-1,3(4)-beta-glucanase OS=Arabidopsis thaliana OX=3702 GN=At5g15870 PE=1 SV=1	22.201	46	7	7	0.14	-2.84	2.55558899994462E-05	3.01087665421917E-06	1990147.25332815	14236392.6568566	9.31	126.45	2168052.47433213	1990147.25332815	1798351.13546339	14236392.6568566	4274785.24830509	82469162.1337302	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	High	High	High	Peak Found	High	High	High	Peak Found	10
Q9XIG1	ath:AT1G43620; Q9XIG1	Sterol 3-beta-glucosyltransferase UGT80B1 OS=Arabidopsis thaliana OX=3702 GN=UGT80B1 PE=2 SV=1	57.106	181	10	10	5.815	2.54	2.75525015818123E-05	3.25302362935709E-06	23535536.9442637	4047116.50761222	4.72	41.83	23535536.9442637	25463890.2750763	23449730.5849455	4047116.50761222	3389833.6993154	7210072.61383568	High	High	High	Peak Found	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	16
Q8L7B1	Q8L7B1	RING/U-box superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At2g35330 PE=1 SV=1	94.005	355	18	13	3.517	1.81	3.31519111863521E-05	3.9207822275511E-06	98635251.2604612	28045384.40201	21.94	10.06	84392373.7909922	98635251.2604612	129071885.652107	28045384.40201	25941443.0426016	31617145.0315049	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
F4K790	ath:AT5G37630; F4K790	ARM repeat superfamily protein OS=Arabidopsis thaliana OX=3702 GN=EMB2656 PE=1 SV=1	47.613	89	13	13	6.739	2.75	3.34190260327836E-05	3.95572829603452E-06	15780403.941454	2341721.10617969	31.04	83.15	15780403.941454	18716997.8229701	9738866.23625954	2341721.10617969	2245903.50481867	8646242.36921064	High	High	Peak Found	Peak Found	High	High	High	Peak Found	High	Peak Found	High	Peak Found	High	High	High	Peak Found	Peak Found	High	11
Q9FLP0	ath:AT5G55230; Q9FLP0	65-kDa microtubule-associated protein 1 OS=Arabidopsis thaliana OX=3702 GN=MAP65-1 PE=1 SV=1	51.499	93	11	10	0.203	-2.3	3.92357226503157E-05	4.65408426397751E-06	5995556.61577367	29502937.1549623	5.09	15.48	5592911.16019076	5995556.61577367	6182942.60409057	29502937.1549623	24249670.324057	33175821.3126008	High	Peak Found	High	High	Peak Found	High	High	High	High	Peak Found	High	High	High	High	High	Peak Found	Peak Found	High	13
Q9LPL6	ath:AT1G21380; Q9LPL6	TOM1-like protein 3 OS=Arabidopsis thaliana OX=3702 GN=TOL3 PE=1 SV=1	41.148	151	7	6	0.206	-2.28	3.93627343638672E-05	4.67112615010201E-06	5152334.08938556	25065443.7913203	46.68	31.36	5152334.08938556	2096083.01775792	6033970.32706504	25065443.7913203	14171596.2066079	27034593.9593697	High	High	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	17
Q84VX7	ath:AT1G51540; Q84VX7	At1g51540 OS=Arabidopsis thaliana OX=3702 GN=At1g51540 PE=1 SV=1	43.785	207	12	11	4.283	2.1	4.38315214651575E-05	5.21903362860066E-06	45087484.4358942	10527715.2816094	24.88	29.23	34729994.258229	57468435.708046	45087484.4358942	10527715.2816094	6505474.36559719	11949324.3245659	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8GXA4	ath:AT4G26455; O65589; Q8GXA4	WPP domain-interacting protein 1 OS=Arabidopsis thaliana OX=3702 GN=WIP1 PE=1 SV=1	25.779	72	6	6	26.231	4.71	4.47324624870092E-05	5.33753643550128E-06	2440828.48218349	93050.3069718474	33.75	33.34	1459766.71224226	2440828.48218349	2990074.12072124	93050.3069718474	86724.3564671611	153877.131061307	High	Peak Found	High	High	High	High	Peak Found	High	High	High	High	High	Peak Found	Peak Found	High	High	High	High	14
O23264	ath:AT4G14030; O23264; Q42178; Q93WU0	Selenium-binding protein 1 OS=Arabidopsis thaliana OX=3702 GN=SBP1 PE=1 SV=1	101.257	445	15	15	5.29	2.4	5.23101356842063E-05	6.25746967197749E-06	30918115.1690013	5844979.69506022	19.7	37.18	21834300.8993336	31934178.7053043	30918115.1690013	5844979.69506022	9033602.08309793	4366158.69927104	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
O22939	ath:AT2G41810; O22939	Uncharacterized protein At2g41810 OS=Arabidopsis thaliana OX=3702 GN=At2g41810 PE=1 SV=1	69.23	240	9	8	4.921	2.3	6.23159599965593E-05	7.49505748465218E-06	36125667.1443693	7340415.48095897	50.36	86.88	66130769.2444295	36125667.1443693	24850143.5073722	23276899.9337958	7340415.48095897	4424022.61369001	High	Peak Found	High	Peak Found	Peak Found	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	14
Q9SZP6	ath:AT4G38690; Q9SZP6	AT4g38690/F20M13_250 OS=Arabidopsis thaliana OX=3702 GN=F20M13.250 PE=1 SV=1	13.224	35	5	5	0.124	-3.01	6.27320148835474E-05	7.54824756166173E-06	1374327.02194197	11062807.539798	51.15	20.62	1374327.02194197	2672279.81860968	1030848.43070781	8941567.78176248	13548871.1089848	11062807.539798	High	Peak Found	High	Peak Found	Peak Found	High	Peak Found	High	High	Peak Found	Peak Found	High	High	High	High	Peak Found	High	Peak Found	10
Q9C950	ath:AT1G61040; Q8RWR3; Q9C950	Protein RTF1 homolog OS=Arabidopsis thaliana OX=3702 GN=VIP5 PE=1 SV=1	20.478	49	5	5	8.091	3.02	6.5898669115421E-05	7.93589213432533E-06	12062331.6432124	1490779.6263918	72.07	49.68	12062331.6432124	1889910.73345357	15485825.5619529	1551581.73205569	1490779.6263918	505096.392572973	Peak Found	Peak Found	High	High	High	Peak Found	High	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	High	High	High	10
Q8L7T5	Q8L7T5	At1g07990/T6D22_5 OS=Arabidopsis thaliana OX=3702 GN=At1g07990 PE=1 SV=1	29.07	169	8	5	0.041	-4.61	6.79577999704293E-05	8.19750983027667E-06	52500.4826862971	1283787.47602704	23.7	47.09		62176.8987952848	44329.980035981	726464.0375837	1975194.49664331	1283787.47602704	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	Peak Found	Peak Found	High	High	High	15
O82264	ath:AT2G47970; O82264; Q3E6N3	NPL4-like protein 2 OS=Arabidopsis thaliana OX=3702 GN=At2g47970 PE=1 SV=1	13.149	57	5	5	10.346	3.37	8.71340516362854E-05	1.05369173430958E-05	8752745.64683763	846025.035717672	15.25	98.13	8752745.64683763	7472625.13789705	10153919.2670133	710446.687766246	3824897.16952256	846025.035717672	High	High	High	High	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	High	High	High	High	High	High	Peak Found	13
Q8VZL1	ath:AT5G13260; Q8VZL1	Myosin OS=Arabidopsis thaliana OX=3702 GN=At5g13260 PE=1 SV=1	52.013	173	14	14	0.237	-2.08	8.85968285540409E-05	1.07182549478058E-05	8660898.46482388	36576774.1355546	19.68	33.36	8660898.46482388	11456349.6465321	7978165.62705535	20885361.1504683	36576774.1355546	42325850.0292725	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	Peak Found	Peak Found	High	15
Q9LHN8	ath:AT3G13610; Q9LHN8	Feruloyl CoA ortho-hydroxylase 1 OS=Arabidopsis thaliana OX=3702 GN=F6'H1 PE=1 SV=1	97.276	290	16	16	4.148	2.05	9.05943401642672E-05	1.09644573131895E-05	52096991.0722728	12558577.3462116	26.28	44.6	52096991.0722728	52468542.7624644	31624041.3724068	12558577.3462116	5920323.06516134	16008825.3945115	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A0A1P8B9D5	A0A1P8B9D5	Phototropic-responsive NPH3 family protein OS=Arabidopsis thaliana OX=3702 GN=At5g66560 PE=1 SV=1	9.344	26	5	5	16.664	4.06	0.000103434067380867	1.25755389386306E-05	944117.051131398	56656.8567733421	23.35	22.52	654604.61205191	1054329.21057563	944117.051131398	56656.8567733421	49202.9586064739	75631.3873940049	Peak Found	High	Peak Found	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	High	High	Peak Found	Peak Found	Peak Found	High	Peak Found	High	8
P02663	bta:282209; P02663; Q1RMQ6; Q9TR51	Alpha-S2-casein (Laboratory-Cont) OS=Bos taurus GN=CSN1S2 PE=1 SV=2	20.731	97	5	5	0.269	-1.89	0.000115754368875172	1.41141188694238E-05	12372974.7329055	45962273.2417005	29.71	49.67	7846643.4483769	12372974.7329055	14619160.6271907	70131712.2879104	45962273.2417005	23818198.1916737	Peak Found	High	High	Peak Found	High	High	Peak Found	High	High	Peak Found	High	Peak Found	High	High	High	High	High	High	13
Q9M9V4	ath:AT1G18850; Q9M9V4	F6A14.6 protein OS=Arabidopsis thaliana OX=3702 GN=At1g18850 PE=1 SV=1	136.961	509	19	19	2.893	1.53	0.000122818251174398	1.49877600825743E-05	196349757.750992	67872443.678166	32.39	3.21	196349757.750992	271327802.751867	140461432.626136	67872443.678166	66818839.5598811	71049562.2084668	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8L8V4	A0A178VGV0; ath:AT3G07640; Q8L8V4	At3g07640 OS=Arabidopsis thaliana OX=3702 GN=At3g07640 PE=1 SV=1	18.291	45	6	6	9.396	3.23	0.000123745082897744	1.51070750267213E-05	11000848.1883171	1170783.32858521	6.13	68.04	11000848.1883171	10102820.1155322	11398423.2485605	1170783.32858521	3321423.55970568	1089405.61570982	High	Peak Found	High	High	High	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Peak Found	High	High	High	High	High	High	12
Q8W4M5	ath:AT1G12000; O65379; Q8W4M5	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit beta 1 OS=Arabidopsis thaliana OX=3702 GN=PFP-BETA1 PE=1 SV=1	214.488	1006	30	22	0.357	-1.49	0.000133183800900436	1.62660603177933E-05	78484520.1527233	219935999.352992	4.94	19.15	82733144.0594971	74962795.5698992	78484520.1527233	295765776.145164	219935999.352992	211452374.100735	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
A0A1P8AUM2	A0A1P8AUM2	OPC-8:0 CoA ligase1 OS=Arabidopsis thaliana OX=3702 GN=OPCL1 PE=1 SV=1	33.901	142	9	9	0.213	-2.23	0.000136786176299337	1.67128935852912E-05	5512506.79809332	25879715.3467306	20.77	45.48	6491938.0536905	5512506.79809332	4247825.51774426	25879715.3467306	27609914.6576361	10110367.871809	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9LUJ5	ath:AT3G22660; Q9LUJ5	Probable rRNA-processing protein EBP2 homolog OS=Arabidopsis thaliana OX=3702 GN=EBP2 PE=1 SV=1	56.291	237	6	6	0.279	-1.84	0.000144557113731341	1.76696236100504E-05	18858148.4451692	67632434.5242206	22.05	43.76	18858148.4451692	21210582.2894212	13523241.0974921	67632434.5242206	104771546.446755	42463752.8867591	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q94AM8	ath:AT4G30996; Q94AM8	Ubiquitin-associated protein (DUF1068) OS=Arabidopsis thaliana OX=3702 GN=NKS1 PE=1 SV=1	36.189	189	6	5	0.271	-1.88	0.00014797920923969	1.81027725976168E-05	11497300.6032798	42460626.2148222	11.84	12.03	12232453.5288685	9672551.16744956	11497300.6032798	42460626.2148222	51813043.0142639	42216983.8967426	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	17
Q8W4S6	A8MQQ0; ath:AT5G11920; Q8W4S6; Q9LYI1	Beta-fructofuranosidase, insoluble isoenzyme CWINV6 OS=Arabidopsis thaliana OX=3702 GN=CWINV6 PE=2 SV=1	37.959	119	13	13	5.593	2.48	0.000161173122141908	1.97491888533907E-05	21295923.0167076	3807317.86123182	57.26	92.8	5731535.2980643	23218937.5553643	21295923.0167076	855547.412209119	3807317.86123182	9443523.23028806	High	Peak Found	Peak Found	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	15
B9DFZ2	ath:AT5G58370; B9DFZ2	AT5G58370 protein OS=Arabidopsis thaliana OX=3702 GN=MCK7.24 PE=1 SV=1	40.001	75	12	12	0.184	-2.45	0.000169756480416123	2.08265066079516E-05	3021720.98344049	16457843.6238415	49.17	6.02	3021720.98344049	4832835.22587131	1710633.82318048	16919297.6110894	15054217.0711063	16457843.6238415	Peak Found	High	High	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	High	Peak Found	High	High	High	Peak Found	High	High	11
A0A1P8AXP2	A0A1P8AXP2	Myosin-like protein XIF OS=Arabidopsis thaliana OX=3702 GN=XIF PE=1 SV=1	187.965	992	36	22	4.217	2.08	0.000170944941348128	2.09980558947276E-05	61486179.670838	14579867.9142967	14.1	96.41	69963894.2589342	52663365.4197841	61486179.670838	58591496.3145751	10157736.1604789	14579867.9142967	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9FZ27	ath:AT1G02335; Q67YR3; Q9FZ27	Germin-like protein subfamily 2 member 2 OS=Arabidopsis thaliana OX=3702 GN=At1g02335 PE=2 SV=1	42.228	233	5	2	6.773	2.76	0.000175708261291863	2.16007997542178E-05	12014920.8267322	1773881.31226536	24.04	29.45	12167743.4249719	12014920.8267322	7671479.13184265	1157373.21349618	1773881.31226536	2143337.11263439	High	Peak Found	High	High	High	High	Peak Found	Peak Found	High	High	High	Peak Found	High	High	High	High	High	High	14
Q9SLE0	ath:AT2G16790; Q8LDN6; Q9SLE0	Gluconokinase OS=Arabidopsis thaliana OX=3702 GN=At2g16790 PE=2 SV=2	36.032	86	8	8	6.162	2.62	0.000203527632531602	2.50923078910503E-05	13883718.8475192	2253179.89043797	24.77	25.2	13883718.8475192	14609060.850656	8932062.17563898	2253179.89043797	1972324.06613866	3159504.24062956	High	High	Peak Found	High	High	High	High	High	Peak Found	High	Peak Found	High	High	High	High	High	High	High	15
Q0WW84	ath:AT3G19130; Q0WW84; Q8LFI9; Q9LJL7	Polyadenylate-binding protein RBP47B OS=Arabidopsis thaliana OX=3702 GN=RBP47B PE=1 SV=1	25.618	40	6	4	0.157	-2.67	0.000215636392076249	2.66068094836314E-05	1729406.0258205	11015372.41988	121.01	57	1729406.0258205	13735961.6972647	1723575.68992432	11015372.41988	4499425.0294653	16754544.5438169	Peak Found	Peak Found	High	High	Peak Found	Peak Found	High	Peak Found	High	Peak Found	High	High	High	High	High	Peak Found	Peak Found	Peak Found	9
P0CB23	ath:AT4G38062; F4JSX4; P0CB23; Q7XHI6; Q9SZK7	Uncharacterized protein At4g38062 OS=Arabidopsis thaliana OX=3702 GN=At4g38062 PE=4 SV=1	6.507	11	4	4	0.205	-2.29	0.000260267535776027	3.22835741630723E-05	4188060.94653184	20461610.8434299	81.68	10.87	4188060.94653184	8127013.18630356	926733.336855355	22034147.0045329	17724089.7469231	20461610.8434299	Peak Found	High	High	Peak Found	Peak Found	High	High	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	High	Peak Found	High	High	8
