Accession	Gene ID	Description	Sum PEP Score	# PSMs	# Peptides	# Unique Peptides	Abundance Ratio: (rbohF C) / (WT C)	Abundance Ratio (log2): (rbohF C) / (WT C)	Abundance Ratio Adj. P-Value: (rbohF C) / (WT C)	Abundance Ratio P-Value: (rbohF C) / (WT C)	Abundances (Grouped): rbohF C	Abundances (Grouped): WT C	Abundances (Grouped) CV [%]: rbohF C	Abundances (Grouped) CV [%]: WT C	Abundances (Normalized): F7: Sample, rbohF C	Abundances (Normalized): F8: Sample, rbohF C	Abundances (Normalized): F9: Sample, rbohF C	Abundances (Normalized): F13: Sample, WT C	Abundances (Normalized): F14: Sample, WT C	Abundances (Normalized): F15: Sample, WT C	Found in Sample: [S1] F1: Sample, rbohC C	Found in Sample: [S2] F2: Sample, rbohC C	Found in Sample: [S3] F3: Sample, rbohC C	Found in Sample: [S4] F4: Sample, rbohC Cd	Found in Sample: [S5] F5: Sample, rbohC Cd	Found in Sample: [S6] F6: Sample, rbohC Cd	Found in Sample: [S7] F7: Sample, rbohF C	Found in Sample: [S8] F8: Sample, rbohF C	Found in Sample: [S9] F9: Sample, rbohF C	Found in Sample: [S10] F10: Sample, rbohF Cd	Found in Sample: [S11] F11: Sample, rbohF Cd	Found in Sample: [S12] F12: Sample, rbohF Cd	Found in Sample: [S13] F13: Sample, WT C	Found in Sample: [S14] F14: Sample, WT C	Found in Sample: [S15] F15: Sample, WT C	Found in Sample: [S16] F16: Sample, WT Cd	Found in Sample: [S17] F17: Sample, WT Cd	Found in Sample: [S18] F18: Sample, WT Cd	COUNTIF
A0A1P8AUA2	A0A1P8AUA2	Kinase family with ARM repeat domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=At1g22870 PE=1 SV=1	45.655	223	13	5	5.041	2.33	1.22160251294655E-06	1.34315196298473E-07	31375661.9844713	6223595.25544852	8.37	64.93	28789402.6746798	34045348.468402	31375661.9844713	11414968.9545299	6223595.25544852	2673591.40974384	Peak Found	High	High	Peak Found	High	Peak Found	High	Peak Found	High	High	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	High	10
B9DFZ2	ath:AT5G58370; B9DFZ2	AT5G58370 protein OS=Arabidopsis thaliana OX=3702 GN=MCK7.24 PE=1 SV=1	40.001	75	12	12	0.186	-2.42	1.64857831593643E-06	1.81755759331992E-07	3067042.07145216	16457843.6238415	24.09	6.02	2948564.15697476	3067042.07145216	4461520.53538764	16919297.6110894	15054217.0711063	16457843.6238415	Peak Found	High	High	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	High	Peak Found	High	High	High	Peak Found	High	High	11
Q9SB42	ath:AT4G25210; Q8H0X7; Q94F05; Q9SB42	GLABROUS1 enhancer-binding protein-like OS=Arabidopsis thaliana OX=3702 GN=GEBPL PE=1 SV=1	71.49	232	9	9	0.166	-2.59	1.80474034468871E-06	1.99243334053634E-07	3840143.36074714	23164097.0714178	24.25	11.64	5128085.8451398	3196635.5738384	3840143.36074714	23164097.0714178	22618403.6662262	27815026.424849	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	17
A0A1P8B454	A0A1P8B454	Myosin OS=Arabidopsis thaliana OX=3702 GN=XI-I PE=1 SV=1	175.311	805	37	32	3.757	1.91	1.9570258092392E-06	2.16447054501856E-07	106110829.525104	28243643.7708755	17.91	16.67	118703322.363947	106110829.525104	82556884.8185199	33471440.8122895	23964546.3329143	28243643.7708755	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9LUJ5	ath:AT3G22660; Q9LUJ5	Probable rRNA-processing protein EBP2 homolog OS=Arabidopsis thaliana OX=3702 GN=EBP2 PE=1 SV=1	56.291	237	6	6	0.227	-2.14	2.86516577015235E-06	3.17603625621388E-07	15347177.6659794	67632434.5242206	38.11	43.76	23691042.6614319	11165216.7239129	15347177.6659794	67632434.5242206	104771546.446755	42463752.8867591	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9LVW0	ath:AT5G54100; Q9LVW0	At5g54100 OS=Arabidopsis thaliana OX=3702 GN=MJP23.8 PE=1 SV=1	84.739	446	16	10	4.089	2.03	2.91438288791017E-06	3.23205062269238E-07	83637326.7566494	20452924.8089651	13.05	28.14	97186345.6283671	75111401.4362055	83637326.7566494	20452924.8089651	19887290.0121016	31894142.9746721	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9FVV7	ath:AT1G71310; Q9FVV7	DNA repair RAD52-like protein 1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=RAD52-1 PE=1 SV=1	9.943	20	4	4	0.061	-4.05	3.25410618115909E-06	3.6185660734489E-07	237188.146660321	3918266.72814872	37.59	53.88	374550.862940151	237188.146660321	181448.536160754	4347853.61178484	1209153.33656176	3918266.72814872	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Not Found	High	High	High	High	Peak Found	Peak Found	High	6
Q6NLY8	ath:AT4G36720; O23209; Q6NLY8	HVA22-like protein k OS=Arabidopsis thaliana OX=3702 GN=HVA22K PE=2 SV=1	28.09	82	6	6	0.097	-3.37	3.60415544606372E-06	4.01502916691499E-07	959499.572242743	9892017.50094979	144.01	25.35	225034.705634142	959499.572242743	9217596.13505117	6326168.90347936	9892017.50094979	10510443.8786097	High	High	High	High	High	Peak Found	High	Peak Found	High	High	High	Peak Found	High	High	High	High	High	High	15
Q9SI20	ath:AT2G18110; Q7GA96; Q8LB45; Q9SI20	Elongation factor 1-delta 2 OS=Arabidopsis thaliana OX=3702 GN=At2g18110 PE=1 SV=1	69.413	421	12	7	5.435	2.44	5.07827339411018E-06	5.68004879131223E-07	24573031.5346139	4521365.45665656	31.65	24.59	24573031.5346139	17469879.0521797	33350902.9200896	6571780.85895285	4521365.45665656	4278322.04667525	High	High	High	Peak Found	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	16
O80625	ath:AT2G39380; O80625	Exocyst subunit Exo70 family protein OS=Arabidopsis thaliana OX=3702 GN=EXO70H2 PE=3 SV=1	31.082	100	10	9	5.694	2.51	6.88958868297166E-06	7.74045288531866E-07	23882284.2237029	4194414.3717876	22.67	9.55	19927840.303274	31091472.2153118	23882284.2237029	3739635.41489204	4530594.04825649	4194414.3717876	Peak Found	High	High	High	High	Peak Found	High	High	Peak Found	High	High	High	High	Peak Found	High	High	High	High	14
F4K4D6	ath:AT5G27650; C0SVR2; F4K4D6	Tudor/PWWP/MBT superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At5g27650 PE=1 SV=1	21.196	38	8	8	5.325	2.41	7.47496962998265E-06	8.40560334891549E-07	24800164.8691475	4657465.39432597	40.21	28.21	47212556.8871161	24716551.7052109	24800164.8691475	4657465.39432597	5956371.1477856	3333289.02688414	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	High	High	High	8
P93031	ath:AT3G51160; P93031; Q1ECM4; Q8LFY4; Q9SD30	GDP-mannose 4,6 dehydratase 2 OS=Arabidopsis thaliana OX=3702 GN=MUR1 PE=1 SV=3	112.023	588	16	10	0.295	-1.76	7.89245274172383E-06	8.8790093344393E-07	42364878.7650723	143427367.240168	10.72	27.51	42364878.7650723	36779176.0350375	45593420.1364075	132306961.265041	143427367.240168	215245078.053399	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9LU41	ath:AT3G21180; Q0WUD3; Q9LU41	Calcium-transporting ATPase 9, plasma membrane-type OS=Arabidopsis thaliana OX=3702 GN=ACA9 PE=2 SV=2	167.221	797	26	16	0.251	-1.99	8.4660774020716E-06	9.54550227083573E-07	18835337.393095	75004019.110322	31.02	27.91	17462220.4566654	18835337.393095	29956282.4707841	75004019.110322	85486636.05952	47909097.7651459	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
P49077	ath:AT3G20330; P49077; Q683J9; Q94A47; Q9LTR1	Aspartate carbamoyltransferase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PYRB PE=2 SV=2	18.796	98	6	6	0.152	-2.72	9.47293492873135E-06	1.06996800020021E-06	1906660.12017997	12564489.6689225	38.46	12.97	3219428.26065363	1596074.3727878	1906660.12017997	10841479.0220367	14081185.652982	12564489.6689225	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	17
Q9LTS6	ath:AT5G56940; Q8LDI6; Q9LTS6	30S ribosomal protein S16-2, chloroplastic/mitochondrial OS=Arabidopsis thaliana OX=3702 GN=RPS16-2 PE=1 SV=1	66.687	345	7	7	3.53	1.82	1.06365232649151E-05	1.20192712893541E-06	113452555.828044	32142809.0611523	14.94	10.14	124469862.897882	113452555.828044	92139826.424473	32364743.9161447	26904997.4090235	32142809.0611523	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
C0LGJ9	ath:AT2G02780; C0LGJ9; O64505; Q84WD0	Probable LRR receptor-like serine/threonine-protein kinase At2g02780 OS=Arabidopsis thaliana OX=3702 GN=At2g02780 PE=1 SV=1	18.414	56	8	8	0.189	-2.4	1.36607904061057E-05	1.54776755301178E-06	4307970.40846542	22806826.202874	34.15	83.87	6266553.03474472	3173150.44452552	4307970.40846542	526171.091976427	24303728.7264022	22806826.202874	High	High	High	Peak Found	Peak Found	Peak Found	High	Peak Found	High	Peak Found	Peak Found	High	Peak Found	High	High	High	High	High	11
F4IQ05	F4IQ05	Peroxidase OS=Arabidopsis thaliana OX=3702 GN=At2g37130 PE=1 SV=1	88.778	327	11	11	0.315	-1.67	1.37428477138496E-05	1.55912607313624E-06	28316895.5933053	89827654.6257919	29.21	10.29	22400279.6816928	39725261.8471097	28316895.5933053	86621666.0382277	104687884.586961	89827654.6257919	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9LPL6	ath:AT1G21380; Q9LPL6	TOM1-like protein 3 OS=Arabidopsis thaliana OX=3702 GN=TOL3 PE=1 SV=1	41.148	151	7	6	0.209	-2.26	1.42068187632694E-05	1.6138946115074E-06	5240531.27990181	25065443.7913203	22.35	31.36	5240531.27990181	4587379.66974923	7012198.67441914	25065443.7913203	14171596.2066079	27034593.9593697	High	High	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	17
Q9C586	A0A178ULZ6; ath:AT5G22020; Q9C586	At5g22020 OS=Arabidopsis thaliana OX=3702 GN=At5g22020 PE=1 SV=1	82.189	378	14	13	4.161	2.06	1.43603408423498E-05	1.63205273673306E-06	36522210.1796561	8777239.3100096	22.54	78.75	25531858.6269315	40356530.2506527	36522210.1796561	7787436.93724352	8777239.3100096	28964399.1325263	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	High	17
Q9C587	ath:AT5G22010; Q9C587	Replication factor C subunit 1 OS=Arabidopsis thaliana OX=3702 GN=RFC1 PE=2 SV=1	216.765	1067	32	32	0.311	-1.68	1.52736886857448E-05	1.73890945687205E-06	72794564.4483604	233925066.425683	10.15	26.04	82901862.0597833	72794564.4483604	68075391.807322	355184208.121005	233925066.425683	230204920.586655	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
O49394	A0MFB5; ath:AT4G31970; O49394	Xanthotoxin 5-hydroxylase CYP82C2 OS=Arabidopsis thaliana OX=3702 GN=CYP82C2 PE=1 SV=2	179.102	444	26	13	4.244	2.09	1.58445973832276E-05	1.80469964194963E-06	53884345.5357355	12695131.5798648	63.94	22.2	11384102.4002638	53884345.5357355	61578760.1341627	12695131.5798648	15238935.9633563	9678578.48864348	Peak Found	High	Peak Found	Peak Found	High	Peak Found	High	High	High	High	High	High	Peak Found	High	Peak Found	High	High	High	12
Q7X6P3	ath:AT3G45890; Q7X6P3; Q9LZU1	Protein root UVB sensitive 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=RUS1 PE=1 SV=1	8.704	14	3	3	0.095	-3.39	1.6216850917074E-05	1.84791016200059E-06	610659.623811595	6422780.30730816	25.91	74.43	414035.473347605	610659.623811595	707779.330480821	6422780.30730816	8758053.32074019	956751.913977994	High	Peak Found	Not Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	High	High	Peak Found	High	Peak Found	6
Q9MAX3	ath:AT1G78000; Q0WTN0; Q9MAX3; Q9SH00	Sulfate transporter 1.2 OS=Arabidopsis thaliana OX=3702 GN=SULTR1;2 PE=1 SV=1	285.138	1095	23	21	3.448	1.79	1.82205350753612E-05	2.07805202534495E-06	88261462.2998039	25596320.6986483	57.43	86.62	88261462.2998039	175313081.618594	56901470.2958934	18901431.0955248	25596320.6986483	88517201.7039478	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9FRK5	ath:AT1G75140; Q8GY41; Q9C9Q7; Q9FRK5	Uncharacterized membrane protein At1g75140 OS=Arabidopsis thaliana OX=3702 GN=At1g75140 PE=1 SV=3	99.18	598	22	19	3.285	1.72	2.51438133285144E-05	2.88022381678132E-06	88716261.8744125	27010339.7801836	13.17	77.31	88008808.6637579	88716261.8744125	110176718.174972	26248936.1387669	27010339.7801836	91025577.420784	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
F4IZ80	A0A178VFW8; ath:AT3G49845; F4IZ80; Q0WPY7; Q9M2X4	Cysteine-rich TM module stress tolerance protein OS=Arabidopsis thaliana OX=3702 GN=WIH3 PE=1 SV=1	6.993	20	2	2	0.095	-3.39	2.53098596473133E-05	2.90050991558211E-06	527430.252825584	5541607.48246406	69.72	28.36	525682.048134645	527430.252825584	1590825.89240797	7361922.66883511	4147525.50583791	5541607.48246406	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	High	Peak Found	High	High	Peak Found	High	6
Q8GXY6	ath:AT1G05270; Q8GXY6	At1g05270 OS=Arabidopsis thaliana OX=3702 GN=YUP8H12.12 PE=1 SV=1	102.466	512	10	10	0.305	-1.71	2.79298932249658E-05	3.20216225824232E-06	31976094.9443998	104696761.014047	21.16	43.85	21742161.4872701	32569112.3239947	31976094.9443998	104696761.014047	151598803.496624	59335372.4421996	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q8W1Y3	ath:AT3G44730; F4J373; O22240; Q8W1Y3	Kinesin-like protein KIN-14F OS=Arabidopsis thaliana OX=3702 GN=KIN14F PE=1 SV=2	16.606	25	7	7	6.88	2.78	3.02443480055071E-05	3.47205115103222E-06	13361715.6515759	1942111.27073712	46.48	64.09	6147734.47867197	17461223.736391	13361715.6515759	3576769.54012762	1942111.27073712	867329.282221285	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	High	Peak Found	Peak Found	High	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	High	High	6
Q0WTB4	ath:AT3G49725; Q0WTB4; Q9M2Y5	GTP-binding protein At3g49725, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At3g49725 PE=2 SV=2	24.86	47	8	8	5.759	2.53	3.33178123319859E-05	3.82988252756178E-06	14912196.6053088	2589338.14769215	9.47	69.59	13395580.811524	14912196.6053088	16203548.7231798	2589338.14769215	4316557.02189488	760263.107665497	Peak Found	Peak Found	High	Peak Found	High	High	High	High	Peak Found	Peak Found	High	Peak Found	High	High	Peak Found	Peak Found	High	High	10
Q8L608	ath:AT5G61250; Q8L608; Q9FLK8	Heparanase-like protein 2 OS=Arabidopsis thaliana OX=3702 GN=At5g61250 PE=2 SV=1	37.401	116	7	7	6.44	2.69	3.38005500241541E-05	3.88875328027893E-06	13392008.3199789	2079387.46697528	32.05	28.8	7327129.30680829	13392008.3199789	14089016.2954361	1280655.94178603	2324028.34596647	2079387.46697528	High	High	High	Peak Found	High	High	High	High	High	High	High	High	High	High	High	High	High	High	17
F4IIU4	ath:AT2G34680; F4IIU4; O64588; Q00NU6; Q0WPR3	187-kDa microtubule-associated protein AIR9 OS=Arabidopsis thaliana OX=3702 GN=AIR9 PE=1 SV=1	363.52	1884	63	63	2.916	1.54	3.49580384478489E-05	4.04114924457133E-06	510368727.138558	175033604.594824	13.44	8.36	545422473.981878	417637723.565729	510368727.138558	191866987.899239	175033604.594824	162473725.725191	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q84VX7	ath:AT1G51540; Q84VX7	At1g51540 OS=Arabidopsis thaliana OX=3702 GN=At1g51540 PE=1 SV=1	43.785	207	12	11	3.735	1.9	3.97049582307025E-05	4.61173089849609E-06	39318719.4951208	10527715.2816094	5.74	29.23	39318719.4951208	37750285.8150726	42247638.8473838	10527715.2816094	6505474.36559719	11949324.3245659	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9LZV3	ath:AT5G01930; Q9LZV3	Mannan endo-1,4-beta-mannosidase 6 OS=Arabidopsis thaliana OX=3702 GN=MAN6 PE=2 SV=1	37.276	54	7	7	0.215	-2.22	4.27943626872772E-05	4.97270494426161E-06	3735200.34488473	17377737.4286219	29.7	22.59	4693767.19350889	3735200.34488473	2528652.46205229	12391065.0820535	19674831.9797974	17377737.4286219	High	High	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	Peak Found	Peak Found	6
Q84P25	ath:AT1G20480; Q84P25; Q9LMV7	4-coumarate--CoA ligase-like 2 OS=Arabidopsis thaliana OX=3702 GN=4CLL2 PE=2 SV=2	54.58	192	15	15	0.24	-2.06	5.42935550606189E-05	6.33062852006816E-06	3915659.47086065	16343915.1371912	12.21	55.52	3915659.47086065	4784447.98180507	3880642.36732729	28038740.8690686	16343915.1371912	8571281.17421821	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9SZV3	ath:AT4G30000; F4JPH1; Q9SZV3	Folate synthesis bifunctional protein, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=MitHPPK/DHPS PE=2 SV=1	12.045	53	6	5	0.129	-2.95	6.02996517425127E-05	7.04299932352548E-06	1120702.79290086	8669048.7969032	19.06	66.72	1526177.70496984	1105986.70169948	1120702.79290086	1592993.03163754	8669048.7969032	9904885.74848731	Peak Found	High	Peak Found	Peak Found	High	High	High	High	Peak Found	High	High	Peak Found	High	High	High	High	High	High	13
Q9LEX5	ath:AT3G60980; Q9LEX5	Pentatricopeptide repeat-containing protein At3g60980, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At3g60980 PE=2 SV=1	21.494	99	9	9	4.276	2.1	6.2026344322838E-05	7.25708228577204E-06	27270741.9868791	6377430.27169802	60.96	71.74	38750192.206177	8674441.51264337	27270741.9868791	5793437.82552687	6377430.27169802	18977877.4372563	High	High	High	High	High	High	High	High	High	High	High	High	High	Peak Found	High	High	High	High	17
Q9SW17	ath:AT4G25090; F4JRU6; Q9SW17	Putative respiratory burst oxidase homolog protein G OS=Arabidopsis thaliana OX=3702 GN=RBOHG PE=3 SV=2	219.034	1141	37	35	2.859	1.52	6.3212890562032E-05	7.39906884028585E-06	156367314.815411	54692079.8373526	8.62	10.89	140709146.139519	156367314.815411	167236234.609143	54692079.8373526	49617293.0538534	61612758.182863	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q84JU6	ath:AT2G39810; O22289; Q84JU6	E3 ubiquitin-protein ligase HOS1 OS=Arabidopsis thaliana OX=3702 GN=HOS1 PE=1 SV=1	62.679	176	15	15	4.726	2.24	6.63464428666221E-05	7.76916845968145E-06	24690636.6058308	5224843.30100782	82.96	56.56	17925349.2346261	79512345.9996403	24690636.6058308	5224843.30100782	4492019.51375434	11883044.2024403	High	Peak Found	High	High	High	Peak Found	High	High	High	High	High	Peak Found	High	High	High	High	High	High	15
F4HRW3	F4HRW3	Zn-dependent exopeptidases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At1g67420 PE=1 SV=1	21.989	69	5	5	5.926	2.57	7.26933748320757E-05	8.5451062115105E-06	13624159.305401	2299101.30947812	56.15	106.62	3923025.01882647	15336381.904393	13624159.305401	2299101.30947812	1004739.79475223	9376127.95332612	High	High	High	High	Peak Found	High	High	Peak Found	Peak Found	Peak Found	High	High	High	High	Peak Found	High	High	High	13
Q9ZSU4	ath:AT4G25820; Q9ZSU4	Xyloglucan endotransglucosylase/hydrolase protein 14 OS=Arabidopsis thaliana OX=3702 GN=XTH14 PE=1 SV=1	32.786	69	6	6	9.731	3.28	7.32322458702106E-05	8.61211211433677E-06	6862851.22326141	705235.697857776	23.08	101.8	9452427.18722684	6170568.96705185	6862851.22326141	2636410.7801188	705235.697857776	318088.968854109	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	High	High	9
Q9SLA7	ath:AT2G25560; Q9SLA7	At2g25560/F13B15.22 OS=Arabidopsis thaliana OX=3702 GN=At2g25560 PE=1 SV=1	18.002	17	5	5	9.605	3.26	7.37397129103338E-05	8.67916420954629E-06	9479630.61064866	986947.750468753	46.79	25.02	4939622.75414792	9479630.61064866	13713461.7320095	986947.750468753	1244319.13892392	747608.614048648	High	Peak Found	Not Found	Peak Found	Peak Found	Peak Found	High	Peak Found	High	Peak Found	Peak Found	High	High	Peak Found	Peak Found	Peak Found	High	Not Found	6
O48574	A0A178UBW7; ath:AT5G44860; O48574	Gb|AAC79135.1 OS=Arabidopsis thaliana OX=3702 GN=T19K24.3 PE=1 SV=1	17.232	33	2	2	4.688	2.23	7.40024126113028E-05	8.71590594075933E-06	24754550.7758715	5280458.94177911	26.99	110.51	24754550.7758715	16256747.033697	28439548.2764936	2488157.34819416	5280458.94177911	24022734.5974089	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	High	High	High	Peak Found	High	High	High	Peak Found	10
Q8GXA4	ath:AT4G26455; O65589; Q8GXA4	WPP domain-interacting protein 1 OS=Arabidopsis thaliana OX=3702 GN=WIP1 PE=1 SV=1	25.779	72	6	6	20.438	4.35	7.59316213865105E-05	8.94854158040026E-06	1901760.15845155	93050.3069718474	47.44	33.34	1901760.15845155	3748890.08421151	1633181.27245137	93050.3069718474	86724.3564671611	153877.131061307	High	Peak Found	High	High	High	High	Peak Found	High	High	High	High	High	Peak Found	Peak Found	High	High	High	High	14
Q8VYW7	ath:AT5G16210; Q8VYW7	AT5g16210/T21H19_130 OS=Arabidopsis thaliana OX=3702 GN=At5g16210 PE=1 SV=1	72.114	235	25	25	3.975	1.99	8.61482935668509E-05	1.01611912262101E-05	56279356.7857112	14157261.6032776	73.76	20.95	26053840.6696532	125881777.672297	56279356.7857112	12474226.4709708	14157261.6032776	18586746.6098673	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9SS48	ath:AT3G10370; Q9SS48	Glycerol-3-phosphate dehydrogenase SDP6, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=SDP6 PE=1 SV=1	132.764	630	25	25	3.178	1.67	9.05588142679222E-05	1.0699523905755E-05	262549400.680019	82606135.6971619	4.9	60.95	263271330.541576	241221728.801121	262549400.680019	55309370.2283884	177360009.691913	82606135.6971619	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	18
Q9CAV7	ath:AT3G04930; F4J625; Q8VYQ3; Q9CAV7	Probable transcription factor At3g04930 OS=Arabidopsis thaliana OX=3702 GN=At3g04930 PE=1 SV=1	77.478	282	11	6	0.21	-2.25	9.097858396707E-05	1.07536686249077E-05	4508425.1438161	21509423.5846857	50.32	49.04	7253417.17680501	2490988.48382945	4508425.1438161	21509423.5846857	16734643.4600174	41241794.5341352	High	High	Peak Found	High	High	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	High	Peak Found	Peak Found	9
Q9LU97	A0A178VA57; ath:AT3G25940; Q9LU97	DNA-directed RNA polymerase subunit OS=Arabidopsis thaliana OX=3702 GN=At3g25940 PE=1 SV=1	22.98	113	5	5	0.215	-2.22	9.44077920791563E-05	1.11731621925681E-05	3042308.45785011	14179368.3478985	39.64	32.37	4771096.07059985	2178466.22194728	3042308.45785011	14179368.3478985	10094086.6005674	19515856.4493258	High	High	High	High	High	High	High	High	High	Peak Found	Peak Found	High	High	High	High	High	High	High	16
Q9SLK0	ath:AT1G54340; Q9SLK0	Peroxisomal isocitrate dehydrogenase [NADP] OS=Arabidopsis thaliana OX=3702 GN=ICDH PE=1 SV=1	63.999	372	13	6	0.185	-2.44	9.58120334536707E-05	1.13489353625873E-05	2085193.86438735	11278643.6318844	106.42	16.54	10236095.2126475	1471483.72596825	2085193.86438735	11278643.6318844	13932724.2104647	10134431.4883597	Peak Found	High	Peak Found	High	High	High	High	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	High	High	Peak Found	9
