Accession	Description	MW [kDa]	calc. pI
Q9M060	Eukaryotic translation initiation factor 6-2 OS=Arabidopsis thaliana OX=3702 GN=EIF6-2 PE=2 SV=1	26.5	4.74
Q9SRZ3	At1g65985 OS=Arabidopsis thaliana OX=3702 GN=F12P19.15 PE=1 SV=1	53.1	6.86
Q9ZVD7	Cytochrome P450, family 705, subfamily A, polypeptide 8 OS=Arabidopsis thaliana OX=3702 GN=CYP705A8 PE=1 SV=1	58.2	8.29
Q9FNC4	HAD superfamily, subfamily IIIB acid phosphatase OS=Arabidopsis thaliana OX=3702 GN=MRH10.13 PE=1 SV=1	31	7.91
Q7DLG4	Arginyl-tRNA synthetase OS=Arabidopsis thaliana OX=3702 GN=emb1027 PE=1 SV=1	66.3	6.49
Q9FJF1	Putative GTP-binding protein ara-3 OS=Arabidopsis thaliana OX=3702 GN=MMN10.12 PE=1 SV=1	23.8	8.22
P55826	Protoporphyrinogen oxidase 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PPOX1 PE=1 SV=1	57.7	9.03
Q949S7	NAD(P)-binding Rossmann-fold superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At5g15910 PE=1 SV=1	28.8	9.67
Q8S9L6	Cysteine-rich receptor-like protein kinase 29 OS=Arabidopsis thaliana OX=3702 GN=CRK29 PE=2 SV=1	75.7	7.15
Q9SH88	Ribosome biogenesis regulatory protein homolog OS=Arabidopsis thaliana OX=3702 GN=At2g37990 PE=2 SV=2	35.5	9.8
F4JXP4	Ankyrin-repeat containing protein OS=Arabidopsis thaliana OX=3702 GN=MUK11.5 PE=4 SV=1	69.4	9.19
Q9FI39	Cytochrome P450 705A5 OS=Arabidopsis thaliana OX=3702 GN=CYP705A5 PE=2 SV=1	58.4	7.87
P51414	60S ribosomal protein L26-1 OS=Arabidopsis thaliana OX=3702 GN=RPL26A PE=2 SV=2	16.9	10.78
O49543	Cysteine desulfurase, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=NIFS1 PE=1 SV=1	50.3	6.99
Q8W4D7	GPI transamidase component PIG-S-like protein OS=Arabidopsis thaliana OX=3702 GN=T1B9.16 PE=1 SV=1	67.1	6.93
Q9FZA2	Non-classical arabinogalactan protein 31 OS=Arabidopsis thaliana OX=3702 GN=AGP31 PE=1 SV=1	38.5	10.17
A0A1P8B2U9	Plasma membrane ATPase OS=Arabidopsis thaliana OX=3702 GN=HA5 PE=1 SV=1	102.6	7.5
F4J9U2	Uncharacterized protein OS=Arabidopsis thaliana OX=3702 GN=At3g12590 PE=1 SV=1	130.7	6.24
Q9FH02	ATP-dependent zinc metalloprotease FTSH 5, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=FTSH5 PE=1 SV=1	75.2	5.49
Q9SUT9	Reticulon-like protein B2 OS=Arabidopsis thaliana OX=3702 GN=RTNLB2 PE=1 SV=1	30.3	8.54
Q9FX01	3beta-hydroxysteroid-dehydrogenase/decarboxylase isoform 1 OS=Arabidopsis thaliana OX=3702 GN=3BETAHSD/D1 PE=1 SV=1	48.1	8.7
Q9ZVU4	At1g55450/T5A14_14 OS=Arabidopsis thaliana OX=3702 GN=At1g55450 PE=1 SV=1	34.5	7.28
Q9SLE2	Calcium-dependent phosphotriesterase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At2g16760 PE=1 SV=1	35.3	6.23
F4JDA1	GPI transamidase component Gpi16 subunit family protein OS=Arabidopsis thaliana OX=3702 GN=At3g07140 PE=1 SV=1	72.1	6.87
A0A1I9LTQ6	DNA gyrase subunit B OS=Arabidopsis thaliana OX=3702 GN=GYRB1 PE=1 SV=1	82	8.47
A0A1P8B870	CAAX prenyl protease OS=Arabidopsis thaliana OX=3702 GN=ATSTE24 PE=1 SV=1	47.1	8.4
Q9CAD1	Glutamine amidotransferase OS=Arabidopsis thaliana OX=3702 GN=At1g63660 PE=1 SV=1	59.3	6.54
Q9C907	Glycerophosphodiester phosphodiesterase GDPD5 OS=Arabidopsis thaliana OX=3702 GN=GDPD5 PE=2 SV=1	45	7.09
Q9ZU52	Fructose-bisphosphate aldolase 3, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=FBA3 PE=1 SV=1	42.3	8.09
Q9LS01	Allene oxide cyclase 3, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=AOC3 PE=2 SV=1	28.4	9.14
Q9SIZ3	Probable methyltransferase PMT23 OS=Arabidopsis thaliana OX=3702 GN=At2g40280 PE=2 SV=2	66.7	8.32
Q8VZ50	Probable calcium-binding protein CML14 OS=Arabidopsis thaliana OX=3702 GN=CML14 PE=2 SV=1	16.6	5.02
Q9C8C9	Eukaryotic aspartyl protease family protein OS=Arabidopsis thaliana OX=3702 GN=At1g66180 PE=1 SV=1	47.3	9.48
Q9C969	Aromatic aminotransferase ISS1 OS=Arabidopsis thaliana OX=3702 GN=ISS1 PE=1 SV=1	43.7	6.37
Q94KT8	Protein COBRA OS=Arabidopsis thaliana OX=3702 GN=COB PE=2 SV=1	51.2	8.62
Q9C8L9	At1g53640/F22G10.8 OS=Arabidopsis thaliana OX=3702 GN=F22G10.8 PE=1 SV=1	56.9	6.51
O64740	Protein transport protein SEC13 homolog B OS=Arabidopsis thaliana OX=3702 GN=SEC13B PE=1 SV=1	32.6	5.74
Q9LSE7	Cytochrome b561 and DOMON domain-containing protein At3g25290 OS=Arabidopsis thaliana OX=3702 GN=At3g25290 PE=2 SV=1	42.5	9.66
A0A1I9LM53	Protein kinase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At3g59350 PE=1 SV=1	47.3	8.37
Q8S9J2	Tyrosine--tRNA ligase 1, cytoplasmic OS=Arabidopsis thaliana OX=3702 GN=At2g33840 PE=2 SV=1	43.9	6.7
Q9STX2	3-oxo-Delta(4,5)-steroid 5-beta-reductase OS=Arabidopsis thaliana OX=3702 GN=VEP1 PE=1 SV=1	44.2	5.2
C0LGT1	Probable LRR receptor-like serine/threonine-protein kinase At5g10290 OS=Arabidopsis thaliana OX=3702 GN=At5g10290 PE=1 SV=1	68.6	6.21
O80719	Probable receptor-like protein kinase At2g47060 OS=Arabidopsis thaliana OX=3702 GN=At2g47060 PE=1 SV=1	39.9	7.4
Q8LBZ7	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit 1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=SDH2-1 PE=1 SV=2	31.2	8.44
Q9LR33	60S ribosomal protein L27a-2 OS=Arabidopsis thaliana OX=3702 GN=RPL27AB PE=2 SV=1	16.3	10.51
F4IRX7	SOUL heme-binding family protein OS=Arabidopsis thaliana OX=3702 GN=SOUL-1 PE=1 SV=2	27.3	9.2
Q9LDN9	Peroxidase 37 OS=Arabidopsis thaliana OX=3702 GN=PER37 PE=2 SV=1	38.2	7.64
Q9LXR8	Peroxisomal and mitochondrial division factor 1 OS=Arabidopsis thaliana OX=3702 GN=PMD1 PE=1 SV=1	36.6	4.89
Q9SSK7	MLP-like protein 34 OS=Arabidopsis thaliana OX=3702 GN=MLP34 PE=2 SV=1	35.5	5.25
Q9LN49	3-ketoacyl-CoA synthase 4 OS=Arabidopsis thaliana OX=3702 GN=KCS4 PE=2 SV=1	57.8	8.85
Q93ZH7	Protein IQ-DOMAIN 2 OS=Arabidopsis thaliana OX=3702 GN=IQD2 PE=1 SV=1	50.4	10.64
O23515	60S ribosomal protein L15-1 OS=Arabidopsis thaliana OX=3702 GN=RPL15A PE=2 SV=1	24.2	11.44
P28186	Ras-related protein RABE1c OS=Arabidopsis thaliana OX=3702 GN=RABE1C PE=1 SV=1	23.8	7.83
Q9C9P4	3-oxoacyl-[acyl-carrier-protein] synthase II, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=KAS2 PE=1 SV=1	57.6	7.87
Q9ZUN8	Protein HEAT STRESS TOLERANT DWD 1 OS=Arabidopsis thaliana OX=3702 GN=HTD1 PE=1 SV=1	51.4	5.06
Q39241	Thioredoxin H5 OS=Arabidopsis thaliana OX=3702 GN=TRX5 PE=1 SV=1	13.1	5.27
Q9LK94	Monodehydroascorbate reductase 4, peroxisomal OS=Arabidopsis thaliana OX=3702 GN=MDAR4 PE=1 SV=1	53.5	8.22
A0A1P8AWQ1	Glycosyl hydrolases family 32 protein OS=Arabidopsis thaliana OX=3702 GN=At1g62660 PE=1 SV=1	60.9	5.47
Q9LEV3	CBS domain-containing protein CBSX3, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=CBSX3 PE=1 SV=1	22.7	9.01
Q9SCV8	Beta-galactosidase 4 OS=Arabidopsis thaliana OX=3702 GN=BGAL4 PE=1 SV=1	80.5	8.68
Q0WVF7	P-loop containing nucleoside triphosphate hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At3g03060 PE=1 SV=1	69.5	9.09
Q9LM59	Serine hydroxymethyltransferase 6 OS=Arabidopsis thaliana OX=3702 GN=SHM6 PE=2 SV=1	66.6	6.86
Q9C574	FAD/NAD(P)-binding oxidoreductase family protein OS=Arabidopsis thaliana OX=3702 GN=At5g22140 PE=1 SV=1	39.7	9.2
Q9ZVA7	F9K20.7 protein OS=Arabidopsis thaliana OX=3702 GN=At1g78880 PE=1 SV=1	50.1	9.48
Q9SIF2	Heat shock protein 90-5, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=HSP90-5 PE=1 SV=1	88.6	5.01
P59224	40S ribosomal protein S13-2 OS=Arabidopsis thaliana OX=3702 GN=RPS13B PE=2 SV=1	17.1	10.39
A0A1P8AUG4	Mediator of RNA polymerase II transcription subunit OS=Arabidopsis thaliana OX=3702 GN=At1g23230 PE=1 SV=1	178	7.47
Q9SHP0	Phosphoserine aminotransferase 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PSAT2 PE=1 SV=1	46.6	8.06
Q9SUV1	Adenine nucleotide transporter BT1, chloroplastic/mitochondrial OS=Arabidopsis thaliana OX=3702 GN=BT1 PE=1 SV=1	42.5	9.38
A0A1I9LMF2	Sieve element occlusion protein OS=Arabidopsis thaliana OX=3702 GN=SEOa PE=1 SV=1	96.8	6.7
A8MS53	Cytochrome P450, family 702, subfamily A, polypeptide 5 OS=Arabidopsis thaliana OX=3702 GN=CYP702A5 PE=1 SV=1	53.7	9.26
Q9M5K3	Dihydrolipoyl dehydrogenase 1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=LPD1 PE=1 SV=2	54	7.4
O22769	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At4g02580 PE=1 SV=3	28.4	7.91
Q944C1	Phosphoinositide phospholipase C 4 OS=Arabidopsis thaliana OX=3702 GN=PLC4 PE=2 SV=2	68	6.2
Q0WSX8	TIR domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=TIK PE=1 SV=1	29.7	8.98
Q9SGA6	40S ribosomal protein S19-1 OS=Arabidopsis thaliana OX=3702 GN=RPS19A PE=2 SV=1	15.8	10.08
Q9FG23	CDK5RAP3-like protein OS=Arabidopsis thaliana OX=3702 GN=At5g06830 PE=2 SV=2	62.1	4.82
O48724	Protein WEAK CHLOROPLAST MOVEMENT UNDER BLUE LIGHT 1 OS=Arabidopsis thaliana OX=3702 GN=WEB1 PE=1 SV=1	89.2	5.05
Q94AZ5	Alanine-tRNA ligase OS=Arabidopsis thaliana OX=3702 GN=At2g45060 PE=1 SV=1	30.3	9.39
Q8RXQ1	Protein trichome birefringence-like 35 OS=Arabidopsis thaliana OX=3702 GN=TBL35 PE=2 SV=1	52.7	8.16
Q8W4E6	Hydroxyproline O-arabinosyltransferase 1 OS=Arabidopsis thaliana OX=3702 GN=HPAT1 PE=1 SV=1	40.9	8.57
F4K703	LA RNA-binding protein OS=Arabidopsis thaliana OX=3702 GN=LARP1a PE=1 SV=1	92.1	8.53
Q9ZW36	Zinc finger CCCH domain-containing protein 25 OS=Arabidopsis thaliana OX=3702 GN=At2g29580 PE=1 SV=1	54.2	7.37
F4I596	Reticulon-like protein OS=Arabidopsis thaliana OX=3702 GN=RTNLB3 PE=1 SV=1	30.5	7.69
Q9FNM7	DEAD-box ATP-dependent RNA helicase 26 OS=Arabidopsis thaliana OX=3702 GN=RH26 PE=1 SV=2	94.1	9.47
Q9LVI9	Dihydropyrimidine dehydrogenase (NADP(+)), chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PYD1 PE=1 SV=1	46.8	6.8
Q08770	60S ribosomal protein L10-2 OS=Arabidopsis thaliana OX=3702 GN=RPL10B PE=2 SV=2	24.9	10.43
F4HW29	Calreticulin OS=Arabidopsis thaliana OX=3702 GN=CRT3 PE=1 SV=1	43.6	5.77
Q6NPP4	Calmodulin-binding transcription activator 2 OS=Arabidopsis thaliana OX=3702 GN=CAMTA2 PE=1 SV=1	117.2	6.43
Q9FFT9	DEAD-box ATP-dependent RNA helicase 32 OS=Arabidopsis thaliana OX=3702 GN=RH32 PE=2 SV=1	83.5	9.1
O04660	Glutamate receptor 2.1 OS=Arabidopsis thaliana OX=3702 GN=GLR2.1 PE=2 SV=2	100.8	6.19
O23702	C-terminal binding protein AN OS=Arabidopsis thaliana OX=3702 GN=AN PE=1 SV=1	70.1	6.6
Q93ZE8	Stromal cell-derived factor 2-like protein OS=Arabidopsis thaliana OX=3702 GN=SDF2 PE=1 SV=1	23.9	7.96
Q9SIT1	Receptor-like kinase TMK3 OS=Arabidopsis thaliana OX=3702 GN=TMK3 PE=1 SV=1	101.9	6.35
Q9FE78	Eukaryotic translation initiation factor 2 subunit alpha OS=Arabidopsis thaliana OX=3702 GN=EIF2A PE=1 SV=1	38.8	5.35
Q8L7S8	DEAD-box ATP-dependent RNA helicase 3, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=RH3 PE=1 SV=2	81.1	7.8
P48483	Serine/threonine-protein phosphatase PP1 isozyme 3 OS=Arabidopsis thaliana OX=3702 GN=TOPP3 PE=1 SV=1	36.2	6.02
P28187	Ras-related protein RABA5c OS=Arabidopsis thaliana OX=3702 GN=RABA5C PE=1 SV=1	24	5.06
Q945M1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 OS=Arabidopsis thaliana OX=3702 GN=CIB22 PE=1 SV=1	13.6	8.68
Q8GXY6	At1g05270 OS=Arabidopsis thaliana OX=3702 GN=YUP8H12.12 PE=1 SV=1	40.7	5
Q9LHG9	Nascent polypeptide-associated complex subunit alpha-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=At3g12390 PE=1 SV=1	22	4.48
Q9M376	Vesicle-associated membrane protein 727 OS=Arabidopsis thaliana OX=3702 GN=VAMP727 PE=1 SV=1	27.4	6.42
A4GNA8	Phosphatidylserine decarboxylase proenzyme 3 OS=Arabidopsis thaliana OX=3702 GN=PSD3 PE=1 SV=1	70.3	5.54
Q9LHB9	Peroxidase 32 OS=Arabidopsis thaliana OX=3702 GN=PER32 PE=1 SV=3	38.8	6.67
Q7Y222	At2g25160 OS=Arabidopsis thaliana OX=3702 GN=CYP82F1 PE=1 SV=1	59.9	8.7
Q84TG1	DEAD-box ATP-dependent RNA helicase 57 OS=Arabidopsis thaliana OX=3702 GN=RH57 PE=2 SV=1	60.9	9.39
Q9SRY5	Glutathione S-transferase F7 OS=Arabidopsis thaliana OX=3702 GN=GSTF7 PE=2 SV=3	23.6	6.62
Q8LAN3	Probable prolyl 4-hydroxylase 4 OS=Arabidopsis thaliana OX=3702 GN=P4H4 PE=2 SV=1	33	7.15
P59223	40S ribosomal protein S13-1 OS=Arabidopsis thaliana OX=3702 GN=RPS13A PE=2 SV=1	17.1	10.39
Q9FY51	Hydroxyproline O-arabinosyltransferase 3 OS=Arabidopsis thaliana OX=3702 GN=HPAT3 PE=1 SV=1	40.3	8.28
B3H4B6	40S ribosomal protein S25 OS=Arabidopsis thaliana OX=3702 GN=At4g39200 PE=1 SV=1	11.9	10.68
O65570	Villin-4 OS=Arabidopsis thaliana OX=3702 GN=VLN4 PE=1 SV=1	109.3	6.13
Q9LQK0	Developmentally-regulated G-protein 1 OS=Arabidopsis thaliana OX=3702 GN=DRG1 PE=1 SV=1	44.6	8.66
Q8W4J2	Mitogen-activated protein kinase 16 OS=Arabidopsis thaliana OX=3702 GN=MPK16 PE=2 SV=2	64.9	8.79
Q9SQG2	Apyrase 1 OS=Arabidopsis thaliana OX=3702 GN=APY1 PE=1 SV=1	51.2	8.27
Q9FM96	Glucosidase 2 subunit beta OS=Arabidopsis thaliana OX=3702 GN=PSL4 PE=2 SV=1	73.2	4.79
Q9FVQ1	Nucleolin 1 OS=Arabidopsis thaliana OX=3702 GN=NUCL1 PE=1 SV=1	58.7	5.22
Q7PC79	Exportin-T OS=Arabidopsis thaliana OX=3702 GN=PSD PE=2 SV=1	111.4	5.64
O23264	Selenium-binding protein 1 OS=Arabidopsis thaliana OX=3702 GN=SBP1 PE=1 SV=1	54	5.67
Q9LHI0	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 OS=Arabidopsis thaliana OX=3702 GN=At3g12260 PE=1 SV=1	15.1	9.09
Q9LTQ4	TRAF-like family protein OS=Arabidopsis thaliana OX=3702 GN=At3g20380 PE=1 SV=1	43.1	8.63
F4JHI1	U3 ribonucleoprotein (Utp) family protein OS=Arabidopsis thaliana OX=3702 GN=At4g02400 PE=1 SV=1	96.7	5.92
Q9SE45	Annexin D3 OS=Arabidopsis thaliana OX=3702 GN=ANN3 PE=2 SV=2	36.2	6.46
A0A1I9LM46	Eukaryotic aspartyl protease family protein OS=Arabidopsis thaliana OX=3702 GN=At3g51330 PE=1 SV=1	50.2	5.64
Q43872	Peroxidase 64 OS=Arabidopsis thaliana OX=3702 GN=PER64 PE=1 SV=1	34.7	8.84
B3LF48	EH domain-containing protein 2 OS=Arabidopsis thaliana OX=3702 GN=EHD2 PE=1 SV=1	61.3	7.24
A0A1P8ANH8	Protein kinase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At1g66880 PE=1 SV=1	102	5.73
Q9SY88	E3 ubiquitin-protein ligase CSU1 OS=Arabidopsis thaliana OX=3702 GN=CSU1 PE=1 SV=1	35	8.06
Q9FM19	Hypersensitive-induced response protein 1 OS=Arabidopsis thaliana OX=3702 GN=HIR1 PE=1 SV=1	31.4	5.43
Q9FFN4	Beta-galactosidase 6 OS=Arabidopsis thaliana OX=3702 GN=BGAL6 PE=2 SV=1	79.7	8.84
P49637	60S ribosomal protein L27a-3 OS=Arabidopsis thaliana OX=3702 GN=RPL27AC PE=2 SV=2	16.4	10.59
F4KBP5	Protein CHROMATIN REMODELING 4 OS=Arabidopsis thaliana OX=3702 GN=CHR4 PE=2 SV=1	247.8	6.3
P35614	Eukaryotic peptide chain release factor subunit 1-3 OS=Arabidopsis thaliana OX=3702 GN=ERF1-3 PE=1 SV=1	49	5.5
Q8LPG9	Protein IQ-DOMAIN 14 OS=Arabidopsis thaliana OX=3702 GN=IQD14 PE=1 SV=1	74.2	11.33
O04130	D-3-phosphoglycerate dehydrogenase 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PGDH2 PE=1 SV=2	66.4	6.13
Q9M0V3	DNA damage-binding protein 1a OS=Arabidopsis thaliana OX=3702 GN=DDB1A PE=1 SV=1	121.2	5.29
P43287	Aquaporin PIP2-2 OS=Arabidopsis thaliana OX=3702 GN=PIP2-2 PE=1 SV=2	30.4	7.81
Q9LK35	Receptor-like protein kinase THESEUS 1 OS=Arabidopsis thaliana OX=3702 GN=THE1 PE=1 SV=1	93.2	6.07
F4IHS2	Chromatin structure-remodeling complex protein SYD OS=Arabidopsis thaliana OX=3702 GN=SYD PE=1 SV=1	389.6	4.87
O22941	Insulin-degrading enzyme-like 1, peroxisomal OS=Arabidopsis thaliana OX=3702 GN=PXM16 PE=2 SV=1	110.9	6.04
Q9FN42	ATP-dependent Clp protease proteolytic subunit 2, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=CLPP2 PE=1 SV=1	26.3	7.24
Q0WVH7	Protein SDA1 OS=Arabidopsis thaliana OX=3702 GN=At1g13160 PE=1 SV=1	89.3	7.61
Q9FGU1	Trafficking protein particle complex subunit OS=Arabidopsis thaliana OX=3702 GN=At5g58030 PE=1 SV=1	21.9	7.97
F4J0D2	Serine/threonine-protein kinase PBL36 OS=Arabidopsis thaliana OX=3702 GN=PBL36 PE=1 SV=2	52.8	9.54
Q9GCB9	Ribosomal protein S2, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=RPS2 PE=1 SV=1	24.8	9.19
Q9M8T6	THO complex subunit 7B OS=Arabidopsis thaliana OX=3702 GN=THO7B PE=1 SV=1	27.4	5.17
A0A1P8B2C7	60S acidic ribosomal protein family OS=Arabidopsis thaliana OX=3702 GN=At2g27720 PE=1 SV=1	9.2	4.41
Q9LIG9	Cytochrome P450, family 705, subfamily A, polypeptide 30 OS=Arabidopsis thaliana OX=3702 GN=CYP705A30 PE=1 SV=1	59.5	7.75
F4KIJ2	ABC1 family protein OS=Arabidopsis thaliana OX=3702 GN=At5g24810 PE=1 SV=1	116.1	8.07
P56785	Protein TIC 214 OS=Arabidopsis thaliana OX=3702 GN=TIC214 PE=1 SV=1	213.6	9.73
Q8RWV5	Cell differentiation, Rcd1-like protein OS=Arabidopsis thaliana OX=3702 GN=At3g20800 PE=1 SV=1	34.7	7.36
Q94JS0	Cytochrome b-c1 complex subunit Rieske-1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=UCR1-1 PE=1 SV=1	29.6	8.43
Q9SR91	At3g08910 OS=Arabidopsis thaliana OX=3702 GN=T16O11.15 PE=1 SV=1	35.8	9.23
O22892	Ribosome biogenesis protein NOP53 OS=Arabidopsis thaliana OX=3702 GN=At2g40430 PE=1 SV=2	50.1	8.87
Q9FME2	Nuclear transport factor 2 OS=Arabidopsis thaliana OX=3702 GN=NTF2 PE=1 SV=1	49.5	5.96
Q9SLN0	Dolichyl-phosphate beta-glucosyltransferase OS=Arabidopsis thaliana OX=3702 GN=At2g39630 PE=1 SV=1	38.3	8.75
Q9CAI5	Casein kinase 1-like protein 2 OS=Arabidopsis thaliana OX=3702 GN=CKL2 PE=1 SV=1	51.8	9.57
Q9FGH9	Exocyst complex component EXO70B1 OS=Arabidopsis thaliana OX=3702 GN=EXO70B1 PE=1 SV=1	70.6	5.24
F4HWB0	Hydroxyproline-rich glycoprotein family protein OS=Arabidopsis thaliana OX=3702 GN=At1g14710 PE=1 SV=1	66.2	8.03
Q8GYH9	Kinase-like protein OS=Arabidopsis thaliana OX=3702 GN=At3g46280 PE=1 SV=1	50.5	5.15
Q9SIV0	S-alkyl-thiohydroximate lyase SUR1 OS=Arabidopsis thaliana OX=3702 GN=SUR1 PE=1 SV=1	51.1	5.91
Q8VY01	Serine carboxypeptidase-like 46 OS=Arabidopsis thaliana OX=3702 GN=SCPL46 PE=2 SV=1	51.9	8.44
Q9FVQ5	CSC1-like protein At1g32090 OS=Arabidopsis thaliana OX=3702 GN=At1g32090 PE=1 SV=1	93.1	9.04
Q9C9C4	Enolase 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=ENO1 PE=1 SV=1	51.4	6.13
C0LGD6	Probable LRR receptor-like serine/threonine-protein kinase At1g05700 OS=Arabidopsis thaliana OX=3702 GN=At1g05700 PE=1 SV=1	94.9	6.92
Q84TE2	At4g33120 OS=Arabidopsis thaliana OX=3702 GN=At4g33120 PE=1 SV=1	41	6.47
Q9M7Z1	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=BCE2 PE=1 SV=1	52.7	6.76
Q8VXX5	Monocopper oxidase-like protein SKS1 OS=Arabidopsis thaliana OX=3702 GN=SKS1 PE=2 SV=1	65.8	7.36
Q940G0	Transmembrane 9 superfamily member 1 OS=Arabidopsis thaliana OX=3702 GN=TMN1 PE=1 SV=1	66.8	7.65
Q8RWM2	Nicotinate phosphoribosyltransferase 1 OS=Arabidopsis thaliana OX=3702 GN=NAPRT1 PE=2 SV=1	62.4	6.25
Q93Y09	Serine carboxypeptidase-like 45 OS=Arabidopsis thaliana OX=3702 GN=SCPL45 PE=2 SV=1	51.8	7.31
Q9FRK5	Uncharacterized membrane protein At1g75140 OS=Arabidopsis thaliana OX=3702 GN=At1g75140 PE=1 SV=3	68.9	7.18
Q9FL33	DNA replication licensing factor MCM3 OS=Arabidopsis thaliana OX=3702 GN=MCM3 PE=1 SV=1	86.3	6.43
O49499	Caffeoyl-CoA O-methyltransferase 1 OS=Arabidopsis thaliana OX=3702 GN=CCOAOMT1 PE=1 SV=1	29.1	5.29
Q8GUN6	Chaperone protein dnaJ 50 OS=Arabidopsis thaliana OX=3702 GN=C50 PE=2 SV=1	34.9	9.26
Q9LSP5	AT3g17020/K14A17_14 OS=Arabidopsis thaliana OX=3702 GN=At3g17020 PE=1 SV=1	17.8	6.92
Q9SGG3	Probable phospholipid-transporting ATPase 5 OS=Arabidopsis thaliana OX=3702 GN=ALA5 PE=3 SV=1	139.3	7.24
Q94CC0	Uncharacterized protein At5g49945 OS=Arabidopsis thaliana OX=3702 GN=At5g49945 PE=2 SV=1	54.6	6.46
Q8H0S3	Protein transport protein SEC23 OS=Arabidopsis thaliana OX=3702 GN=At1g05520 PE=1 SV=1	86.3	5.64
Q9LSQ5	NAD(P)H dehydrogenase (quinone) FQR1 OS=Arabidopsis thaliana OX=3702 GN=FQR1 PE=1 SV=1	21.8	6.38
Q9SGN6	MACPF domain-containing protein NSL1 OS=Arabidopsis thaliana OX=3702 GN=NSL1 PE=2 SV=1	67.9	8.85
Q94K07	Nucleosome assembly protein 1;3 OS=Arabidopsis thaliana OX=3702 GN=NAP1;3 PE=1 SV=1	43.3	4.53
Q0WUI9	Probable alpha,alpha-trehalose-phosphate synthase [UDP-forming] 8 OS=Arabidopsis thaliana OX=3702 GN=TPS8 PE=2 SV=1	97.5	5.91
Q9FNI7	Glucomannan 4-beta-mannosyltransferase 2 OS=Arabidopsis thaliana OX=3702 GN=CSLA2 PE=1 SV=1	61.5	9.09
Q94BY3	Translocon-associated protein subunit beta OS=Arabidopsis thaliana OX=3702 GN=MUA22.2 PE=1 SV=1	21.1	9.66
Q93ZV8	RNI-like superfamily protein OS=Arabidopsis thaliana OX=3702 GN=emb2004 PE=1 SV=1	64.7	7.58
Q38870	Calcium-dependent protein kinase 2 OS=Arabidopsis thaliana OX=3702 GN=CPK2 PE=1 SV=1	72.2	5.43
Q9SRT3	Probable xyloglucan glycosyltransferase 6 OS=Arabidopsis thaliana OX=3702 GN=CSLC6 PE=1 SV=1	78.3	8.79
Q8LPJ1	Casein kinase 1-like protein 6 OS=Arabidopsis thaliana OX=3702 GN=CKL6 PE=1 SV=1	54	9.94
Q94AG2	Somatic embryogenesis receptor kinase 1 OS=Arabidopsis thaliana OX=3702 GN=SERK1 PE=1 SV=2	69	5.52
O80628	Alpha/beta-Hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At2g39410 PE=1 SV=2	36.4	7.69
Q8GW53	At4g24340 OS=Arabidopsis thaliana OX=3702 GN=At4g24340 PE=1 SV=1	36.9	8.75
Q9ZV29	Cytochrome P450 710A3 OS=Arabidopsis thaliana OX=3702 GN=CYP710A3 PE=2 SV=1	55.8	8.02
Q9SIU8	Probable protein phosphatase 2C 20 OS=Arabidopsis thaliana OX=3702 GN=PPC3-1.2 PE=1 SV=3	31.8	6.3
P42158	Casein kinase 1-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=CKL1 PE=2 SV=2	50.9	9.45
P14891	3-hydroxy-3-methylglutaryl-coenzyme A reductase 1 OS=Arabidopsis thaliana OX=3702 GN=HMG1 PE=1 SV=1	63.6	6.65
