Protein	Subcellular.location	Transmembrane	log2_rbohC	log2_rbohF	log2_WT	Protein.names
Q9SLM4	Chloroplast		0	0	1.69	Protein kinase superfamily protein (Uncharacterized protein At2g40980)
O81816	Mitochondrion		0	0	1.65	Monooxygenase 2 (AtMO2) (EC 1.14.13.-)
Q0WPK4	Cytoplasm, P-body.		0	0	1.44	Protein PAT1 homolog (AtPAT1)
Q9M393	Membrane; Single-pass type II membrane protein.	TRUE	0	0	-2.28	O-fucosyltransferase 28 (O-FucT-28) (EC 2.4.1.-) (O-fucosyltransferase family protein)
F4K5T4	Nucleus		0	0	-2.41	Probable transcription factor At5g28040 (Storekeeper-like protein At5g28040)
O76011	Unknown		0	0	-3.67	Keratin, type I cuticular Ha4 (Hair keratin, type I Ha4) (Keratin-34) (K34)
Q9M214	Nucleus		0	0	1.83	At3g60450 (Phosphoglycerate mutase family protein) (Uncharacterized protein T8B10_110)
O80585	Nucleus		0	0	1.71	Methylenetetrahydrofolate reductase (NADH) 2 (AtMTHFR2) (EC 1.5.1.54)
A0A1P8B591	Chloroplast, Cytoplasm		0	0	1.44	Disease resistance protein (TIR-NBS-LRR class) family
Q9STM3	Nucleus.		0	0	2.16	Lysine-specific demethylase REF6 (EC 1.14.11.-) (Jumonji domain-containing protein 12) (AtJMJ12) (Protein JUMONJI 12) (Lysine-specific histone demethylase REF6) (Protein ENHANCER OF ETHYLENE INSENSITIVITY 6) (Protein ETHYLENE-INSENSITIVE 6) (Protein RELATIVE OF EARLY FLOWERING 6) ([histone H3]-trimethyl-L-lysine(27) monodemethylase JMJ12) ([histone H3]-trimethyl-L-lysine(36) monodemethylase JMJ12) ([histone H3]-trimethyl-L-lysine(4) monodemethylase JMJ12)
A8MQE3	Chloroplast		0	0	3.88	Alpha/beta-Hydrolases superfamily protein
Q9LVW7	Plastid, chloroplast.		0	0	2.67	Carbamoyl-phosphate synthase small chain, chloroplastic (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain) (Protein VENOSA 6)
Q8RXL8	Golgi apparatus membrane; Multi-pass membrane protein.	TRUE	0	0	1.68	UDP-xylose transporter 3
Q9XI07	Nucleus.		0	0	-1.78	SWI/SNF complex subunit SWI3C (AtSWI3C) (Transcription regulatory protein SWI3C)
Q9M028	Membrane; Multi-pass membrane protein.	TRUE	0	0	2.68	LIMR family protein At5g01460
Q8LG05	Nucleus.		0	0	-2.82	Transcription factor STKL1 (Protein Storekeeper-like 1)
Q84TF0	Cytoplasm		0	0	3.12	Aldo-keto reductase family 4 member C10 (EC 1.1.1.-)
F4KGW0	Endoplasmic reticulum membrane; Multi-pass membrane protein. Membrane; Multi-pass membrane protein.	TRUE	0	0	1.57	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase (EC 4.2.1.134)
Q9ZW84	Plastid, chloroplast stroma. Plastid.		0	0	-1.97	3-isopropylmalate dehydratase small subunit 2 (EC 4.2.1.33) (2-(omega-methylthio)alkylmalate dehydratase small subunit 2) (EC 4.2.1.170) (AtLEUD1) (Isopropylmalate isomerase 2) (Isopropylmalate isomerase small subunit 2) (IPMI SSU2) (Methylthioalkylmalate isomerase small subunit) (MAM-IS)
Q9ASU6	Nucleus, nucleolus.		0	0	-1.37	At1g42440/F7F22_7 (Pre-rRNA-processing TSR1-like protein) (Uncharacterized protein At1g42440)
Q84WW2	Plastid, chloroplast. Peroxisome.		0	0	-2.08	6-phosphogluconolactonase 3, chloroplastic (6PGL3) (EC 3.1.1.31) (Protein EMBRYO DEFECTIVE 2024)
Q9SYQ8	Cell membrane; Single-pass type I membrane protein.	TRUE	0	0	-3.85	Receptor protein kinase CLAVATA1 (EC 2.7.11.1)
F4K0R0	Nucleus		0	0	2.72	Transducin family protein / WD-40 repeat family protein
Q9LJX4	Cytoplasm.		0	0	-1.58	Pumilio homolog 5 (APUM-5) (AtPUM5)
Q9LIB3	Plastid, chloroplast.		0	0	1.87	BAG family molecular chaperone regulator 8, chloroplastic (Bcl-2-associated athanogene 8)
F4HRS2	Nucleus		0	0	1.82	Protein SWEETIE
F4I962	Nucleus.		0	0	-2.04	SIN3-like 3
Q9XES1	Membrane; Multi-pass membrane protein.	TRUE	0	0	1.87	Calcium-transporting ATPase 4, endoplasmic reticulum-type (EC 7.2.2.10)
Q945K9	Unknown		0	0	-2.26	AT4g34150/F28A23_90 (At4g34150) (Calcium-dependent lipid-binding (CaLB domain) family protein) (Uncharacterized protein At4g34150)
Q9FMG4	Nucleus speckle.		0	0	-1.54	Serine/arginine-rich splicing factor SC35 (At-SC35) (AtSC35) (SC35-like splicing factor)
Q39199	Plastid, chloroplast stroma.		0	0	-1.93	DNA repair protein recA homolog 1, chloroplastic (Recombinase A homolog 1)
Q9LUD2	Unknown	TRUE	0	0	4.09	AT3g14620/MIE1_12 (Cytochrome P450) (Cytochrome P450, family 72, subfamily A, polypeptide 8)
Q9FFW8	Chloroplast		0	0	2.38	Tryptophan synthase beta chain (Tryptophan synthase beta type 2)
Q9LVA4	Unknown		0	0	1.92	Plant invertase/pectin methylesterase inhibitor superfamily protein (Ripening-related protein-like) (Ripening-related protein-like; contains similarity to pectinesterase)
Q9LTI3	Membrane; Multi-pass membrane protein.	TRUE	0	0	2.99	Mannose-P-dolichol utilization defect 1 protein homolog 1
Q9SJM7	Cytoplasm.		0	0	2.91	Uridine nucleosidase 1 (EC 3.2.2.3) (Adenosine nucleosidase) (EC 3.2.2.7) (Inosine nucleosidase) (EC 3.2.2.2) (Nucleoside hydrolase 1) (Uridine ribohydrolase 1) (Xanthosine nucleosidase) (EC 3.2.2.-)
F4IE35	Membrane; Multi-pass membrane protein.	TRUE	0	0	-3.08	Phospholipid-transporting ATPase (EC 7.6.2.1)
O49570	Cytoplasm		0	0	-2.04	At4g31200 (Predicted protein) (SWAP (Suppressor-of-White-APricot)/surp RNA-binding domain-containing protein)
Q9SH30	Membrane; Multi-pass membrane protein.	TRUE	0	0	2.36	Probable copper-transporting ATPase HMA5 (EC 7.2.2.8) (Probable copper-transporting ATPase 3) (Protein HEAVY METAL ATPASE 5)
Q9ZVA2	Secreted. Secreted, cell wall.		0	0	1.97	EP1-like glycoprotein 2 (Curculin-like (Mannose-binding) lectin family protein)
Q9ZUN4	Cytoplasm		0	0	-2.89	1-aminocyclopropane-1-carboxylate oxidase 1 (ACC oxidase 1) (AtACO1) (EC 1.14.17.4)
Q941R6	Chloroplast		0	0	-2.68	MLP-like protein 31
P37106	Cytoplasm.		0	0	2.93	Signal recognition particle 54 kDa protein 1 (SRP54)
Q43729	Secreted.		0	0	-1.63	Peroxidase 57 (Atperox P57) (EC 1.11.1.7) (ATP13a) (PRXR10)
Q8RX67	Membrane; Multi-pass membrane protein.	TRUE	0	0	2.72	Protein NRT1/ PTR FAMILY 5.11 (AtNPF5.11)
Q84VX7	Unknown		0	0	1.96	At1g51540 (Galactose oxidase/kelch repeat superfamily protein)
Q3EBD3	Chloroplast, Nucleus		0	0	-1.63	DEAD-box ATP-dependent RNA helicase 41 (EC 3.6.4.13)
Q9SB33	Cytoplasm, Chloroplast		0	0	3.21	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein (SRG1-like protein)
A0A1P8B8H5	Membrane; Single-pass membrane protein.	TRUE	0	0	1.76	Cysteine-rich RLK (RECEPTOR-like protein kinase) 11
Q9M8U2	Mitochondrion		0	0	1.59	aminoacyl-tRNA hydrolase (EC 3.1.1.29)
A0A1I9LN01	Membrane; Single-pass membrane protein. Cytoplasm, perinuclear region.	TRUE	0	0	-1.59	Protein LONG AFTER FAR-RED 3 (EC 3.5.-.-)
Q9SV21	Cytoplasm. Golgi apparatus membrane; Peripheral membrane protein; Cytoplasmic side. Cytoplasmic vesicle, COPI-coated vesicle membrane; Peripheral membrane protein; Cytoplasmic side. The coatomer is cytoplasmic or polymerized on the cytoplasmic side of the Golgi, as well as on the vesicles/buds originating from it.		0	0	-1.3	Coatomer subunit beta-1 (Beta-coat protein 1) (Beta-COP 1)
Q9SVV9	Unknown		0	0	3.29	Protein MEI2-like 3 (AML3) (MEI2-like protein 3)
O23006	Cell membrane; Lipid-anchor, GPI-anchor.		0	0	-1.1	LysM domain-containing GPI-anchored protein 2 (Chitin elicitor-binding protein LYM2) (CEBiP LYM2)
Q8L8V4	Unknown		0	0	2.89	At3g07640 (Period circadian protein) (Uncharacterized protein At3g07641)
Q9SU63	Mitochondrion matrix.		0	0	-1.54	Aldehyde dehydrogenase family 2 member B4, mitochondrial (ALDH2a) (EC 1.2.1.3)
Q9FZ27	Secreted, extracellular space, apoplast.		0	0	2.44	Germin-like protein subfamily 2 member 2
Q9CAF9	Mitochondrion.		0	0	2.87	Protein Iojap-related, mitochondrial
Q9M1Q9	Membrane; Multi-pass membrane protein.	TRUE	0	0	1.84	ABC transporter B family member 21 (ABC transporter ABCB.21) (AtABCB21) (Multidrug resistance protein 17) (P-glycoprotein 21)
Q9FLD3	Cytoplasm		0	0	-1.57	AT5g05210/K2A11_8 (Gb|AAC73025.1) (Surfeit locus protein 6)
O23238	Unknown		0	0	2.24	At4g36420/C7A10_940 (Putative ribosomal protein) (Ribosomal protein) (Ribosomal protein L12 family protein)
Q8W5S1	Cytoplasm. Nucleus.		0	0	-1.37	Cyclin-H1-1 (CycH1;1)
Q8VYK6	Cytoplasm.		0	0	-1.32	40S ribosomal protein S4-3
Q94A05	Golgi apparatus membrane; Single-pass type II membrane protein.	TRUE	0	0	2.26	Hydroxyproline O-galactosyltransferase HPGT2 (EC 2.4.1.-) (Beta-1,3-galactosyltransferase 10)
Q945L0	Mitochondrion.		0	0	3.83	Cytochrome c oxidase subunit 6b-2 (AtCOX6b-2)
Q9LRJ9	Secreted.		0	0	2.19	Cysteine-rich repeat secretory protein 38
F4IM56	Nucleus		0	0	2.21	Phototropic-responsive NPH3 family protein
B3LF89	Unknown		0	0	-2	Pectate lyase (EC 4.2.2.2)
Q9SSK5	Chloroplast		0	0	3.12	MLP-like protein 43
Q9C8H0	Membrane; Multi-pass membrane protein.	TRUE	0	0	-2.18	ABC transporter C family member 12 (ABC transporter ABCC.12) (AtABCC12) (EC 7.6.2.2) (ATP-energized glutathione S-conjugate pump 13) (Glutathione S-conjugate-transporting ATPase 13) (Multidrug resistance-associated protein 13)
A0A1P8BCS7	Nucleus		0	0	-2.2	DNA helicase (EC 3.6.4.12)
Q8RWV9	Unknown		0	0	1.51	Uncharacterized protein At5g08450 (Zinc finger CCCH domain protein)
Q9CAT7	Nucleus		0	0	-1.47	Nascent polypeptide-associated complex subunit beta
Q9C587	Nucleus. Localizes to the chromosomes during zygotene and pachytene.		0	0	-1.23	Replication factor C subunit 1 (AtRFC1) (Activator 1 large subunit) (Activator 1 subunit 1)
Q9SGP9	Unknown		0	0	1.87	At1g28510/F3M18_5 (F3M18.5) (Optic atrophy 3 protein (OPA3))
F4JLJ2	Cell_membrane		0	0	-2.95	Non-lysosomal glucosylceramidase (NLGase) (EC 3.2.1.45)
Q66GM8	Secreted, cell wall.		0	0	-2.19	Pectin acetylesterase 10 (EC 3.1.1.-)
Q9FY64	Cytoplasm.		0	0	-1.7	40S ribosomal protein S15-4
O23180	Chloroplast		0	0	1.73	Patatin-like protein 5 (AtPLP5) (EC 3.1.1.-) (Patatin-related phospholipase A IIdelta) (pPLAIId) (Phospholipase A IVB) (AtPLAIVB)
F4J0D2	Cell membrane; Lipid-anchor.		0	0	1.88	Serine/threonine-protein kinase PBL36 (EC 2.7.11.1) (PBS1-like protein 36) (Receptor-like cytoplasmic kinase PBL36)
F4HTI1	Cytoplasm		0	0	-2.83	Mannose-binding lectin superfamily protein
O04308	Plastid, chloroplast stroma. Mitochondrion matrix. Mitochondrion inner membrane; Peripheral membrane protein; Matrix side.		0	0	1.69	Probable mitochondrial-processing peptidase subunit alpha-2, chloroplastic/mitochondrial (Alpha-MPP 2) (Complex III subunit II) (Core protein II) (Cytochrome b-c1 complex subunit 2-2, mitochondrial) (Inactive zinc metalloprotease alpha-2) (Ubiquinol-cytochrome c oxidoreductase core protein 2-2)
Q9LM76	Nucleus		0	0	-1.36	U-box domain-containing protein 44 (EC 2.3.2.27) (Plant U-box protein 44) (Protein SENESCENCE-ASSOCIATED E3 UBIQUITIN LIGASE 1) (RING-type E3 ubiquitin transferase PUB44)
Q9FX97	Golgi apparatus, Golgi stack membrane; Single-pass type II membrane protein. Membrane-bound form in trans cisternae of Golgi.	TRUE	0	0	-1.07	Putative fucosyltransferase-like protein (FucT2) (FucTB) (Fucosyltransferase 12) (AtFUT12)
Q9SZV3	Mitochondrion.		0	0	-2.26	Folate synthesis bifunctional protein, mitochondrial [Includes: 6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase (HPPK) (EC 2.7.6.3) (2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase) (7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase); Dihydropteroate synthase (DHPS) (EC 2.5.1.15)]
Q9ZPX1	Cytoplasm.		0	0	1.89	ADP-ribosylation factor-like protein 2 (Protein ARF-like 2) (Protein HALLIMASCH) (Protein TITAN 5)
Q9SIL7	Cell membrane; Lipid-anchor, GPI-anchor.		0	0	3.39	Fasciclin-like arabinogalactan protein 6
Q9SZR1	Membrane; Multi-pass membrane protein.	TRUE	0	0	1.3	Calcium-transporting ATPase 10, plasma membrane-type (EC 7.2.2.10) (Ca(2+)-ATPase isoform 10)
Q9LSM3	Unknown	TRUE	0	0	2.03	Tetratricopeptide repeat (TPR)-like superfamily protein (Uncharacterized protein At5g65520) (Uncharacterized protein At5g65520/K21L13_2)
A0A1P8AXC4	Cytoplasm		0	0	-2.37	Jacalin-related lectin 23
Q9SA18	Plastid, chloroplast.		0	0	-1.15	Bifunctional aspartokinase/homoserine dehydrogenase 1, chloroplastic (AK-HD 1) (AK-HSDH 1) (Beta-aspartyl phosphate homoserine 1) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]
Q39163	Nucleus.		0	0	-2.25	Transcription factor TGA5 (Ocs element-binding factor 5) (OBF5) (bZIP transcription factor 26) (AtbZIP26)
F4IYR7	Unknown		0	0	1.92	Leucine-rich repeat (LRR) family protein
F4J043	Cytoplasm		0	0	2.81	WUS-interacting protein 2
O80946	Membrane; Multi-pass membrane protein.	TRUE	0	0	-1	ABC transporter G family member 1 (ABC transporter ABCG.1) (AtABCG1) (White-brown complex homolog protein 1) (AtWBC1)
Q9SQG2	Golgi apparatus membrane; Single-pass type II membrane protein. Membrane; Single-pass type II membrane protein. As cell membrane protein, the functional domain could be at the extracellular side.	TRUE	0	0	1.65	Apyrase 1 (AtAPY1) (EC 3.6.1.5) (ATP-diphosphatase) (ATP-diphosphohydrolase) (Adenosine diphosphatase) (ADPase) (NTPDase) (Nucleoside triphosphate diphosphohydrolase 1)
Q9C5E7	Plastid, chloroplast. Cytoplasm.		0	0	1.68	Pumilio homolog 6, chloroplastic (APUM-6) (AtPUM6)
P56795	Plastid, chloroplast.		0	0	2.09	50S ribosomal protein L22, chloroplastic
F4J381	Mitochondrion	TRUE	0	0	1.19	FG-GAP repeat-containing protein
P0CB23	Cytoplasm		0	0	-1.75	Uncharacterized protein At4g38062
Q9FNL3	Vacuole membrane; Multi-pass membrane protein.	TRUE	0	0	-1.34	Protein DMP6 (AtDMP6)
Q9LPL6	Membrane; Peripheral membrane protein.		0	0	-1.57	TOM1-like protein 3
Q9LIG9	Unknown	TRUE	0	0	1.32	Cytochrome P450, family 705, subfamily A, polypeptide 30 (Cytochrome P450-like protein) (Putative cytochrome P450)
F4JKM2	Cytoplasm		0	0	-1.87	Cinnamyl alcohol dehydrogenase 5
Q9ASS7	Vacuole membrane; Multi-pass membrane protein.	TRUE	0	0	2.45	Cationic amino acid transporter 2, vacuolar
Q3MKM6	Nucleus, nucleolus.		0	0	3.26	U3 snoRNP-associated protein-like EMB2271 (Protein EMBRYO DEFECTIVE 2271) (Protein YAO-like)
Q9FIJ0	Membrane; Multi-pass membrane protein.	TRUE	0	0	1.49	Respiratory burst oxidase homolog protein D (EC 1.11.1.-) (EC 1.6.3.-) (NADPH oxidase RBOHD) (AtRBOHD)
Q8RY80	Membrane; Multi-pass membrane protein.	TRUE	0	0	2.87	MBOAT (Membrane bound O-acyl transferase) family protein (Uncharacterized protein At1g57600)
Q9FJJ5	Cytoplasm, cytoskeleton, spindle pole. Cytoplasm, cytoskeleton, phragmoplast. Localizes both to the plus ends of microtubules and to the sites of nucleation during division and interphase.		0	0	-1.65	Microtubule-associated protein RP/EB family member 1B (APC-binding protein EB1B) (End-binding protein 1) (AtEB1) (End-binding protein 1B) (AtEB1B) (Protein ATEB1 homolog 2) (ATEB1H2)
F4I259	Mitochondrion		0	0	2.58	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Q84P25	Peroxisome.		0	0	-1.5	4-coumarate--CoA ligase-like 2 (EC 6.2.1.12)
Q9M386	Unknown	TRUE	0	0	1.75	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family (Uncharacterized protein At3g54200) (Uncharacterized protein F24B22.160)
C0LGQ9	Cell membrane; Single-pass type I membrane protein.	TRUE	0	0	-2.14	LRR receptor-like serine/threonine-protein kinase GHR1 (EC 2.7.11.1) (Protein GUARD CELL HYDROGEN PEROXIDE-RESISTANT 1) (AtGHR1) (Protein RADICAL-INDUCED CELL DEATH 7)
Q9LYS2	Membrane; Multi-pass membrane protein.	TRUE	0	0	1.96	ABC transporter C family member 10 (ABC transporter ABCC.10) (AtABCC10) (EC 7.6.2.2) (ATP-energized glutathione S-conjugate pump 14) (Glutathione S-conjugate-transporting ATPase 14) (Multidrug resistance-associated protein 14)
Q9SDA2	Unknown		0	0	-2.28	Plant calmodulin-binding protein-like protein (Uncharacterized protein At5g07820) (Uncharacterized protein F13G24.20)
Q42602	Membrane; Single-pass membrane protein.	TRUE	0	0	2.82	Cytochrome P450 89A2 (EC 1.14.-.-) (ATH 6-1) (CYPLXXXIX)
Q9SGN8	Unknown		0	0	-2.16	F3M18.16 (GATA zinc finger protein) (Uncharacterized protein At1g28400)
Q9C9Z9	Secreted, cell wall. Cytoplasm. Cell membrane. The cell membrane subcellular localization first observed (PubMed:12215501) and the punctate pattern within the cytoplasm (PubMed:14742875) could not be confirmed (PubMed:15010620).		0	0	-1.31	Glycosyltransferase-like KOBITO 1 (EC 2.4.1.-) (Protein ABA INSENSITIVE 8) (Protein ELONGATION DEFECTIVE 1)
Q9LX15	Secreted.		0	0	1.88	Protein DOWNSTREAM OF FLC (AtDFC) (Pollen allergen-like protein)
Q9SD86	Nucleus		0	0	-1.78	Dentin sialophosphoprotein-like protein (Uncharacterized protein F13G24.180)
A8MQN4	Membrane; Multi-pass membrane protein.	TRUE	0	0	2.19	Calcineurin-like metallo-phosphoesterase superfamily protein
Q9LDA4	Secreted. Vacuole. Carboxy-terminal extension appears to target the protein to vacuoles.		0	0	1.87	Peroxidase 38 (Atperox P38) (EC 1.11.1.7)
Q5XF81	Cytoplasm. Nucleus.		0	0	-1.29	BRISC and BRCA1-A complex member 2 (BRCA1-A complex subunit BRE) (BRCA1/BRCA2-containing complex subunit 45) (Brain and reproductive organ-expressed protein)
P93017	Nucleus		0	0	-2.39	Dormancy-associated protein homolog 1 (Auxin-repressed protein 1) (AtARP1) (DRM1 homolog 1) (Dormancy-associated protein 2) (AtDRM2)
P0C1T5	Mitochondrion		0	0	-1.25	Elicitor peptide 7
Q42342	Cell membrane. Endoplasmic reticulum membrane; Single-pass membrane protein.	TRUE	0	0	1.04	Cytochrome b5 isoform E (AtCb5-E) (Cytochrome b5 isoform 1) (Cytochrome b5 isoform A) (AtCb5-A)
Q9SYZ9	Nucleus.		0	0	-2.81	Transcription initiation factor TFIID subunit 8 (TBP-associated factor 8) (AtTAF8)
P48421	Endoplasmic reticulum membrane; Single-pass membrane protein.	TRUE	0	0	-1.02	Cytochrome P450 83A1 (EC 1.14.14.43) (CYPLXXXIII) (Protein REDUCED EPIDERMAL FLUORESCENCE 2)
Q944H0	Cytoplasm.		0	0	-0.94	Phosphomethylethanolamine N-methyltransferase (AtPMEAMT) (EC 2.1.1.-) (Phosphoethanolamine N-methyltransferase 2)
C0LGU1	Membrane; Single-pass type I membrane protein.	TRUE	0	0	1.21	Probable LRR receptor-like serine/threonine-protein kinase At5g37450 (EC 2.7.11.1)
Q9SZR6	Nucleus	TRUE	0	0	3.14	Transmembrane protein (Uncharacterized protein At4g29960) (Uncharacterized protein F27B13.200)
Q9SKL6	Extracellular		0	0	3.16	At2g15220/F15A23.4 (Expressed protein) (Plant basic secretory protein (BSP) family protein) (Uncharacterized protein F15A23.4/At2g15220)
Q9T051	Cytoplasm. Membrane; Peripheral membrane protein. Found mainly associated with intracellular membranes but also with mitochondrial membranes, nuclei and clathrin-coated vesicles. Not found in chloroplast.		0	0	-1.81	Phospholipase D gamma 2 (AtPLDgamma2) (PLD gamma 2) (EC 3.1.4.4)
Q9SN38	Cell membrane; Single-pass type I membrane protein.	TRUE	0	0	-1.11	Receptor-like protein 51 (AtRLP51) (Protein PUTATIVE DEVELOPMENTAL ORTHOLOG 1) (AtPDO1) (Protein SUPPRESSOR OF NPR1-1, CONSTITUTIVE 2)
Q9SA87	Secreted, cell wall.		0	0	1.81	Berberine bridge enzyme-like 10 (AtBBE-like 10) (EC 1.1.1.-)
F4IQ05	Secreted.		0	0	-1.08	Peroxidase (EC 1.11.1.7)
A0A1P8BEG1	Chloroplast		0	0	-1.67	Insulinase (Peptidase family M16) family protein
A0A1R7T3D6	Unknown	TRUE	0	0	-1.53	Zn-dependent exopeptidases superfamily protein
F4JJ27	Unknown	TRUE	0	0	1.53	Peroxisomal ABC transporter 1
Q0WPQ2	Endoplasmic reticulum membrane; Multi-pass membrane protein.	TRUE	0	0	-1.36	Ethylene receptor 2 (AtETR2) (EC 2.7.11.-) (Protein ETHYLENE RESPONSE 2) (Protein ETR2)
Q67YL8	Unknown	TRUE	0	0	1.71	Myb-like protein X (mRNA, clone: RAFL24-22-E06)
A0A1P8B454	Nucleus		0	0	1.52	Myosin
Q8LG42	Mitochondrion		0	0	-1.35	At2g37975 (Uncharacterized protein At2g37975) (Yos1-like protein)
A0A1P8B1L7	Membrane; Multi-pass membrane protein.	TRUE	0	0	2.93	Protein DETOXIFICATION (Multidrug and toxic compound extrusion protein)
Q8RWH9	Nucleus envelope. Nucleus, nuclear pore complex.		0	0	2.45	Nuclear pore complex protein NUP58 (Nucleoporin 58) (Protein TRANSCURVATA1)
Q8W4I4	Cell membrane; Multi-pass membrane protein.	TRUE	0	0	1.82	Potassium transporter 6 (AtHAK6) (AtPOT6)
Q9FNZ1	Unknown		0	0	1.59	Zinc finger CCCH domain-containing protein 63 (AtC3H63) (Zinc finger CCCH domain and WD40 repeat-containing protein 2)
F4HV06	Nucleus	TRUE	0	0	1.67	Transmembrane protein (DUF616)
Q8GWQ6	Nucleus speckle.		0	0	-2.09	UPF0235 protein At5g63440
Q84WU8	Mitochondrion inner membrane; Single-pass membrane protein; Matrix side.	TRUE	0	0	1.25	ATP-dependent zinc metalloprotease FTSH 3, mitochondrial (AtFTSH3) (EC 3.4.24.-)
Q9STY7	Membrane; Single-pass type II membrane protein.	TRUE	0	0	2.61	11-beta-hydroxysteroid dehydrogenase-like 3 (EC 1.1.1.-) (17-beta-hydroxysteroid dehydrogenase-like 3) (EC 1.1.1.-) (Hydroxysteroid dehydrogenase 3) (AtHSD3)
F4K6N3	Unknown		0	0	2.2	Amidase family protein
Q9M146	Golgi apparatus membrane; Single-pass type II membrane protein.	TRUE	0	0	1.72	UDP-D-xylose:L-fucose alpha-1,3-D-xylosyltransferase MGP4 (EC 2.4.2.-) (Protein MALE GAMETOPHYTE DEFECTIVE 4) (Rhamnogalacturonan xylosyltransferase MGP4)
Q9FE78	Cytoplasm		0	0	-0.9	Eukaryotic translation initiation factor 2 subunit alpha (eIF2-alpha)
Q9SRM4	Nucleus.		0	0	1.71	PHD finger protein ALFIN-LIKE 2 (Protein AL2) [Cleaved into: PHD finger protein ALFIN-LIKE 2, N-terminally processed]
Q9LM13	Plastid, chloroplast.		0	0	-1.35	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase 1 (BPG-dependent PGAM 1) (PGAM 1) (Phosphoglyceromutase 1) (dPGM 1) (EC 5.4.2.11)
P14891	[Isoform Short]: Endoplasmic reticulum membrane; Multi-pass membrane protein. Also observed within spherical structures located along the endoplasmic reticulum strands.; [Isoform Long]: Endoplasmic reticulum membrane; Multi-pass membrane protein.	TRUE	0	0	-1.08	3-hydroxy-3-methylglutaryl-coenzyme A reductase 1 (AtHMGR1) (HMG-CoA reductase 1) (EC 1.1.1.34)
